composer,nationality,key,year,info,npvi,meter
Bach,German,f#c#g#d#,1722,61.2008,51.1688,4/4
Bach,German,f#c#,1722,134.896,0,4/4
Bach,German,b-,1717,107.586,37.5856,3/4
Bach,German,f#c#,1722,73.6837,65.789,4/4
Bach,German,b-,1722,112.127,5.59923,4/4
Bach,German,b-,1722,104.211,20.4444,3/4
Bach,German,b-e-a-,1722,140.825,33.1481,4/4
Bach,German,b-e-a-,1722,123.851,24.9275,4/4
Bach,German,b-e-a-d-g-c-,1722,117.096,103.423,3/2
Bach,German,b-e-a-d-g-c-,1722,76.4386,44.2857,4/4
Bach,German,f#c#g#d#,1722,112.872,21.7391,12/8
Bach,German,f#c#g#d#,1722,107.586,14.5022,4/4
Bach,German,f#,1722,141.58,62.1779,4/4
Bach,German,b-,1717,94.1173,14.4928,6/8
Bach,German,f#,1722,123.372,2.66667,3/4
Bach,German,b-,1722,146.955,0,12/8
Bach,German,b-,1722,99.8469,10,3/8
Bach,German,b-e-a-d-,1722,112.37,79.0128,4/4
Bach,German,b-e-a-d-,1722,88.1075,22.7451,4/4
Bach,German,f#c#g#d#a#e#,1722,71.9557,50,12/16
Bach,German,f#c#g#d#a#e#,1722,91.3526,34.0444,4/4
Bach,German,f#c#g#,1722,123.851,5.55556,4/4
Bach,German,f#c#g#,1722,108.096,48.642,6/4
Bach,German,f#,1722,107.342,0,24/16
Bach,German,b-,1717,47.2451,24.2424,3/4
Bach,German,f#,1722,158.508,26.6667,6/8
Bach,German,b-e-,1722,106.211,44.3791,4/4
Bach,German,b-e-,1722,60.732,41.9048,4/4
Bach,German,b-e-a-d-,1722,110.996,45.614,3/4
Bach,German,b-e-a-d-,1722,125.851,19.1856,4/4
Bach,German,f#c#g#d#a#,1722,57.2451,26.3492,6/8
Bach,German,f#c#g#d#a#,1722,83.4838,15.6863,4/4
Bach,German,f#c#g#,1722,142.955,11.9048,4/4
Bach,German,f#c#g#,1722,102.587,18.8235,9/8
Bach,German,b-,1717,80.5977,54.9841,3/4
Bach,German,b-e-,1722,56.4259,125,4/4
Bach,German,b-e-,1722,137.207,8,3/4
Bach,German,b-e-a-d-g-,1722,113.627,28.9855,4/4
Bach,German,b-e-a-d-g-,1722,88.5293,40.8254,4/4
Bach,German,f#c#g#d#a#,1722,51.8953,95.2381,4/4
Bach,German,f#c#g#d#a#,1722,68.3038,39.1837,4/4
Bach,German,f#c#,1722,72.8289,123.16,4/4
Bach,German,f#c#,1722,112.211,10.0433,4/4
Bach,German,b-,1717,80.0964,8.66667,3/8
Bach,German,b-e-a-,1738,115.851,5.55556,4/4
Bach,German,b-e-a-,1738,66.3038,27.619,4/4
Bach,German,f#c#g#d#a#e#b#,1738,75.6837,0,4/4
Bach,German,f#c#g#d#a#e#b#,1738,94.4449,47.9365,3/8
Bach,German,f#c#g#d#a#e#b#,1738,79.743,38.9744,4/4
Bach,German,f#c#g#d#,1738,75.9557,62.4242,9/8
Bach,German,f#c#g#d#,1738,103.342,4.7619,12/16
Bach,German,f#c#,1738,103.284,27,12/8
Bach,German,f#c#,1738,79.6837,30.6667,4/4
Bach,German,b-,1717,29.3508,26.6667,2/2
Bach,German,b-,1738,99.3624,2.89855,3/4
Bach,German,b-,1738,123.627,10.6054,4/4
Bach,German,b-e-a-,1738,108.211,32.3529,9/8
Bach,German,b-e-a-,1738,98.1996,34.8371,4/4
Bach,German,f#c#g#d#a#e#,1738,110.096,9.09091,4/4
Bach,German,f#c#g#d#a#e#,1738,74.9288,33.9683,4/4
Bach,German,f#c#g#d#,1738,109.457,52.6984,3/4
Bach,German,f#c#g#d#,1738,77.6837,28.3333,4/2
Bach,German,f#,1738,112.772,31.345,3/8
Bach,German,f#,1738,131.207,58.0504,2/2
