file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor117.krn	 2	 4.61042	 28.0226	 *M4/4	chor117.hrm	 4	 0	 1	 2	 0
chor117.krn	 3	 4.46395	 17.5439	 *M4/4	chor117.hrm	 4	 2	 2	 0	 0
chor117.krn	 4	 3.77497	 28.1481	 *M4/4	chor117.hrm	 4	 0	 0	 0	 0
chor124.krn	 1	 4.62152	 16.7708	 *M4/4	chor124.hrm	 4	 0	 2	 0	 0
chor124.krn	 2	 4.77849	 26.3966	 *M4/4	chor124.hrm	 4	 0	 1	 0	 0
chor124.krn	 3	 4.83076	 32.6984	 *M4/4	chor124.hrm	 4	 2	 3	 0	 0
chor124.krn	 4	 3.46918	 15.1515	 *M4/4	chor124.hrm	 4	 0	 0	 0	 0
chor136.krn	 1	 4.74052	 23.1884	 *M4/4	chor136.hrm	 4	 0	 0	 0	 0
chor136.krn	 2	 4.03654	 18.5185	 *M4/4	chor136.hrm	 4	 2	 0	 0	 0
chor136.krn	 3	 4.15844	 21.0101	 *M4/4	chor136.hrm	 4	 6	 0	 0	 0
chor136.krn	 4	 3.66002	 8.08081	 *M4/4	chor136.hrm	 4	 0	 0	 0	 0
chor153.krn	 1	 4.30436	 21.164	 *M4/4	chor153.hrm	 4	 0	 0	 0	 0
chor153.krn	 2	 4.42312	 35.6162	 *M4/4	chor153.hrm	 4	 1	 2	 0	 0
chor153.krn	 3	 3.8687	 24.3077	 *M4/4	chor153.hrm	 4	 2	 0	 0	 0
chor153.krn	 4	 4.25167	 36.8889	 *M4/4	chor153.hrm	 4	 1	 0	 0	 3
chor157.krn	 1	 4.38926	 10.8527	 *M4/4	chor157.hrm	 4	 0	 0	 0	 0
chor157.krn	 2	 4.38425	 28.4493	 *M4/4	chor157.hrm	 4	 0	 0	 0	 0
chor157.krn	 3	 4.6434	 43.9762	 *M4/4	chor157.hrm	 4	 8	 2	 0	 0
chor157.krn	 4	 3.6796	 10.303	 *M4/4	chor157.hrm	 4	 0	 0	 0	 0
chor158.krn	 1	 4.55413	 23.7589	 *M4/4	chor158.hrm	 4	 0	 0	 0	 0
chor158.krn	 2	 5.08918	 42.2751	 *M4/4	chor158.hrm	 4	 4	 0	 2	 0
chor158.krn	 3	 4.69878	 40.5316	 *M4/4	chor158.hrm	 4	 7	 0	 1	 0
chor158.krn	 4	 3.85806	 18.3333	 *M4/4	chor158.hrm	 4	 0	 0	 0	 0
