"","major_pitches","major_durations"
"1379","D5",0.5
"1380","G4",1
"1381","G4",1
"1382","B4",0.25
"1383","C5",0.25
"1384","D5",1
"1385","D5",0.5
"1386","D#5",0.25
"1387","E5",0.25
"1388","E5",0.5
"1389","C5",1
"1390","B4",0.5
"1391","C5",0.25
"1392","B4",0.25
"1393","A4",0.5
"1394","G4",0.5
"1395","D5",0.5
"1396","D5",0.75
"1397","C5",0.25
"1398","B4",0.25
"1399","C5",0.25
"1400","D5",1
"1401","D5",0.5
"1402","D#5",0.25
"1403","E5",0.25
"1404","E5",0.5
"1405","C5",1
"1406","B4",0.25
"1407","C5",0.25
"1408","B4",0.5
"1409","A4",0.5
"1410","A4",0.5
"1411","G4",1
"1412","G4",1
"1413","B4",1.5
"1414","G4",0.5
"1415","B4",1.5
"1416","G4",0.5
"1417","B4",0.5
"1418","G4",0.5
"1419","B4",0.5
"1420","G4",0.5
"1421","B4",0.5
"1422","G4",0.5
"1423","B4",1
"1424","D5",0.25
"1425","C5",0.25
"1426","B4",0.25
"1427","A4",0.25
"1428","B4",0.5
"1429","G4",0.5
"1430","D5",0.25
"1431","C5",0.25
"1432","B4",0.25
"1433","A4",0.25
"1434","B4",0.5
"1435","G4",0.5
"1436","D5",0.25
"1437","C5",0.25
"1438","B4",0.25
"1439","A4",0.25
"1440","B4",0.25
"1441","C5",0.25
"1442","D5",0.25
"1443","E5",0.25
"1444","D5",0.25
"1445","C5",0.25
"1446","B4",0.25
"1447","A4",0.25
"1448","B4",0.5
"1449","G4",0.5
"1450","G4",0.5
"1451","B4",0.5
"1452","D5",0.5
"1453","C5",0.5
"1454","B4",0.5
"1455","A4",0.5
"1456","C5",0
"1457","B4",0.5
"1458","G4",0.5
"1459","B4",0.5
"1460","D5",0.5
"1461","C5",0.5
"1462","A4",0.5
"1463","G4",1
"1464","G4",0.5
"1465","B4",0.5
"1466","D5",0.5
"1467","C5",0.5
"1468","B4",0.5
"1469","A4",0.5
"1470","B4",0.5
"1471","G4",0.5
"1472","B4",0.5
"1473","D5",0.5
"1474","C5",0.5
"1475","A4",0.5
"1476","G4",1
"1477","D5",1
"1478","F#5",0
"1479","E5",0.5
"1480","D5",0.25
"1481","C5",0.25
"1482","F#5",0
"1483","E5",0.5
"1484","D5",0.25
"1485","C5",0.25
"1486","C5",0
"1487","B4",0.5
"1488","A4",0.25
"1489","G4",0.25
"1490","A4",0.25
"1491","B4",0.25
"1492","C5",0.25
"1493","D5",0.25
"1494","B4",1
"1495","B4",0.25
"1496","A4",0.25
"1497","A4",0.25
"1498","G4",0.25
"1499","B4",1
"1500","D5",1
"1501","E5",0.5
"1502","D5",0.25
"1503","C5",0.25
"1504","E5",0.5
"1505","D5",0.25
"1506","C5",0.25
"1507","B4",0.5
"1508","A4",0.25
"1509","G4",0.25
"1510","A4",0.25
"1511","B4",0.25
"1512","C5",0.25
"1513","D5",0.25
"1514","B4",1
"1515","C5",0
"1516","B4",0.25
"1517","A4",0.25
"1518","A4",0.25
"1519","F#4",0.25
"1520","G4",1
"1521","A4",0.25
"1522","B4",0.25
"1523","C5",0.25
"1524","D5",0.25
"1525","B4",1
"1526","B4",0.25
"1527","A4",0.25
"1528","A4",0.25
"1529","G4",0.25
"1530","B4",1
"1531","A4",0.25
"1532","B4",0.25
"1533","C5",0.25
"1534","D5",0.25
"1535","B4",1
"1536","B4",0.25
"1537","A4",0.25
"1538","A4",0.25
"1539","F#4",0.25
"1540","G4",1
"1541","D4",0
"1542","G4",0.75
"1543","B4",0.25
"1544","B4",0.25
"1545","A4",0.25
"1546","A4",0.25
"1547","G4",0.25
"1548","B4",0.25
"1549","A4",0.25
"1550","A4",0.25
"1551","G4",0.25
"1552","B4",1
"1553","A4",0.25
"1554","B4",0.25
"1555","C5",0.25
"1556","D5",0.25
"1557","B4",1
"1558","B4",0.25
"1559","A4",0.25
"1560","A4",0.25
"1561","G4",0.25
"1562","D5",0.75
"1563","D4",0.25
"1564","G4",0.75
"1565","B4",0.25
"1566","B4",0.25
"1567","A4",0.25
"1568","A4",0.25
"1569","G4",0.25
"1570","B4",0.25
"1571","A4",0.25
"1572","A4",0.25
"1573","G4",0.25
"1574","B4",1
"1575","A4",0.25
"1576","B4",0.25
"1577","C5",0.25
"1578","D5",0.25
"1579","B4",1
"1580","B4",0.25
"1581","A4",0.25
"1582","A4",0.25
"1583","F#4",0.25
"1584","G4",1
"1585","D4",0
"1586","G4",0.5
"1587","A4",0.5
"1588","B4",1
"1589","A4",0.5
"1590","B4",0.5
"1591","A4",1
"1592","D4",0
"1593","G4",0.5
"1594","A4",0.5
"1595","B4",1
"1596","A4",0.5
"1597","B4",0.5
"1598","A4",1
"1599","G4",0.5
"1600","A4",0.5
"1601","B4",0.5
"1602","C5",0.5
"1603","D5",0.5
"1604","B4",0.5
"1605","C5",0.5
"1606","A4",0.5
"1607","B4",0.5
"1608","G4",0.5
"1609","A4",0.5
"1610","F#4",0.5
"1611","D5",0.5
"1612","D5",0.5
"1613","B4",1
"1614","G4",1.5
"1615","A4",0.5
"1616","A4",1
"1617","A4",0.25
"1618","G4",0.25
"1619","F#4",0.25
"1620","E4",0.25
"1621","F#4",0.5
"1622","D4",0.5
"1623","F#4",0.25
"1624","G4",0.25
"1625","A4",0.5
"1626","F#4",0.25
"1627","G4",0.25
"1628","A4",0.5
"1629","A4",0.25
"1630","G4",0.25
"1631","F#4",0.25
"1632","E4",0.25
"1633","F#4",0.5
"1634","D4",0.5
"1635","F#4",0.25
"1636","G4",0.25
"1637","A4",1
"1638","A4",0.5
"1639","G4",0.25
"1640","A4",0.25
"1641","B4",1
"1642","A4",0.25
"1643","G4",0.25
"1644","F#4",0.5
"1645","F#4",0.5
"1646","E4",0.25
"1647","F#4",0.25
"1648","G4",0.25
"1649","E4",0.25
"1650","D4",0.25
"1651","E4",0.25
"1652","F#4",0.25
"1653","G4",0.25
"1654","A4",0.25
"1655","B4",0.25
"1656","C5",0.25
"1657","D5",0.25
"1658","D4",1.5
"1659","D5",2
"1660","D5",2
"1661","D5",0.5
"1662","B4",0.5
"1663","C5",0.5
"1664","C5",0.5
"1665","B4",2
"1666","B4",0.5
"1667","G4",0.5
"1668","A4",0.5
"1669","A4",0.5
"1670","G4",2
"1671","G4",0.5
"1672","D4",0.5
"1673","E4",0.5
"1674","E4",0.5
"1675","D4",2
"1676","D4",0.5
"1677","E4",0.5
"1678","F#4",0.5
"1679","G4",0.5
"1680","A4",0.5
"1681","B4",0.5
"1682","C5",0.333
"1683","B4",0.333
"1684","A4",0.333
"1685","B4",2
"1686","D5",2
"1687","A4",0.5
"1688","B4",0.5
"1689","C5",0.5
"1690","A4",0.5
"1691","A4",2
"1692","G4",1
"1693","G4",0.5
"1694","B4",0.25
"1695","C5",0.25
"1696","D5",0.5
"1697","D5",0.5
"1698","D5",0.25
"1699","C5",0.25
"1700","D5",0
"1701","C5",0.25
"1702","B4",0.25
"1703","D5",0.5
"1704","D5",0.5
"1705","G4",0.5
"1706","B4",0.25
"1707","C5",0.25
"1708","D5",0.5
"1709","D5",0.5
"1710","D5",0.25
"1711","C5",0.25
"1712","C5",0.25
"1713","B4",0.25
"1714","D5",1
"1715","C5",0.75
"1716","B4",0.25
"1717","C5",0.75
"1718","B4",0.25
"1719","D5",0.25
"1720","C5",0.25
"1721","B4",0.25
"1722","A4",0.25
"1723","B4",0.5
"1724","G4",0.5
"1725","A4",0.5
"1726","A4",0.5
"1727","A4",0.25
"1728","C5",0.25
"1729","B4",0.25
"1730","A4",0.25
"1731","G4",0.5
"1732","B4",0.5
"1733","D5",1
"1734","G4",1
"1735","G4",1
"1736","C5",0.5
"1737","D5",0
"1738","C5",0.25
"1739","B4",0.25
"1740","C5",0.5
"1741","D5",0
"1742","C5",0.25
"1743","B4",0.25
"1744","A4",0.5
"1745","A4",0.5
"1746","A4",1
"1747","B4",0.25
"1748","D5",0
"1749","C5",0.25
"1750","B4",0.25
"1751","A4",0.25
"1752","B4",0.25
"1753","D5",0
"1754","C5",0.25
"1755","B4",0.25
"1756","A4",0.25
"1757","G4",0.5
"1758","B4",0.5
"1759","D5",1
"1760","G4",1
"1761","G4",0.75
"1762","D4",0.25
"1763","F#4",0.75
"1764","D4",0.25
"1765","E4",0.75
"1766","D4",0.25
"1767","D4",1
"1768","E4",0.75
"1769","D4",0.25
"1770","D4",1
"1771","E4",0.75
"1772","D4",0.25
"1773","D4",1
"1774","G4",0.75
"1775","D4",0.25
"1776","A4",0.75
"1777","D4",0.25
"1778","B4",1
"1779","B4",0.25
"1780","D4",0.25
"1781","C5",0.25
"1782","B4",0.25
"1783","A4",1
"1784","A4",0.25
"1785","D4",0.25
"1786","B4",0.25
"1787","A4",0.25
"1788","G4",1
"1789","G5",1
"1790","G4",1
"1791","A4",0.75
"1792","D4",0.25
"1793","A4",0.75
"1794","D4",0.25
"1795","D4",0
"1796","A4",0.25
"1797","C5",0.25
"1798","B4",0.25
"1799","A4",0.25
"1800","G4",0.25
"1801","F#4",0.25
"1802","G4",0.25
"1803","B4",0.25
"1804","A4",0.25
"1805","D4",0.25
"1806","A4",0.25
"1807","D4",0.25
"1808","A4",0.25
"1809","D4",0.25
"1810","A4",0.25
"1811","D4",0.25
"1812","A4",0.25
"1813","C5",0.25
"1814","B4",0.25
"1815","A4",0.25
"1816","G4",1
"1817","D5",1.5
"1818","C5",0.5
"1819","B4",2
"1820","B4",0.25
"1821","C5",0.25
"1822","B4",0.25
"1823","C5",0.25
"1824","D5",0.75
"1825","C5",0.25
"1826","B4",2
"1827","D5",1.5
"1828","G5",0.5
"1829","B4",2
"1830","B4",0.25
"1831","C5",0.25
"1832","B4",0.25
"1833","C5",0.25
"1834","D5",0.75
"1835","C5",0.25
"1836","B4",2
"1837","D5",1
"1838","F5",0.25
"1839","E5",0.25
"1840","D5",0.25
"1841","C5",0.25
"1842","B4",0.25
"1843","G4",0.25
"1844","B4",0.25
"1845","D5",0.25
"1846","C5",0.25
"1847","B4",0.25
"1848","C5",0.25
"1849","A4",0.25
"1850","B4",0.25
"1851","C5",0.25
"1852","D5",0.25
"1853","E5",0.25
"1854","F5",0.25
"1855","E5",0.25
"1856","D5",0.25
"1857","C5",0.25
"1858","B4",0.25
"1859","G4",0.25
"1860","B4",0.25
"1861","D5",0.25
"1862","C5",0.25
"1863","B4",0.25
"1864","C5",0.25
"1865","A4",0.25
"1866","G4",0.25
"1867","A4",0.25
"1868","B4",0.25
"1869","G4",0.25
"1870","A4",0.25
"1871","B4",0.25
"1872","C5",0.25
"1873","A4",0.25
"1874","B4",0.25
"1875","C5",0.25
"1876","D5",0.25
"1877","B4",0.25
"1878","C5",0.25
"1879","D5",0.25
"1880","E5",0.25
"1881","C5",0.25
"1882","D5",0.5
"1883","A4",1
"1884","D5",0.25
"1885","C5",0.25
"1886","B4",0.25
"1887","C5",0.25
"1888","A4",0.25
"1889","B4",0.25
"1890","G4",0.5
"1891","D4",0.5
"1892","G4",0.5
"1893","G4",0.5
"1894","G4",0.5
"1895","G4",1.5
"1896","D4",0.5
"1897","G4",0.5
"1898","A4",0.5
"1899","B4",0.5
"1900","C5",0.5
"1901","B4",1
"1902","A4",0.5
"1903","G4",0.5
"1904","A4",0.5
"1905","A4",1
"1906","G4",0.5
"1907","B4",0.5
"1908","A4",0.5
"1909","G4",0.5
"1910","F#4",0.5
"1911","G4",1
"1912","D5",1
"1913","B4",1
"1914","G4",1
"1915","G4",2
"1916","G4",1
"1917","G4",0.5
"1918","B4",1
"1919","B4",1
"1920","C5",1
"1921","C5",1
"1922","B4",0.5
"1923","G4",0.5
"1924","A4",0.5
"1925","B4",0.5
"1926","A4",0.5
"1927","A4",0.5
"1928","G4",1
"1929","B4",1
"1930","B4",1
"1931","C5",0.75
"1932","D5",0.125
"1933","C5",0.125
"1934","B4",0.5
"1935","A4",0.5
"1936","B4",1
"1937","C5",1
"1938","D5",1.5
"1939","B4",1
"1940","B4",1
"1941","C5",1
"1942","C5",1
"1943","B4",0.5
"1944","G4",0.5
"1945","A4",0.5
"1946","B4",0.5
"1947","A4",0.5
"1948","A4",0.5
"1949","G4",1
"1950","D5",0.5
"1951","C5",0.5
"1952","B4",0.5
"1953","A4",0.5
"1954","G4",0.5
"1955","F#4",0.5
"1956","E4",0.5
"1957","F#4",0.5
"1958","G4",2
"1959","G4",0.5
"1960","B4",0.5
"1961","C5",0.5
"1962","C#5",0.5
"1963","D5",2
"1964","D5",2
"1965","D5",1
"1966","D5",1
"1967","D5",1
"1968","D5",1
"1969","B4",0.25
"1970","C5",0.25
"1971","D5",1
"1972","C5",0.25
"1973","B4",0.25
"1974","B4",0.25
"1975","C5",0.25
"1976","D5",1
"1977","D5",0.5
"1978","D5",0.5
"1979","B4",0.5
"1980","E5",0.5
"1981","D5",0.5
"1982","B4",1
"1983","B4",0.5
"1984","C5",0.5
"1985","C5",0.5
"1986","C5",1
"1987","B4",0.5
"1988","B4",0.5
"1989","B4",1
"1990","A4",0
"1991","B4",0
"1992","A4",0.5
"1993","G4",0.5
"1994","A4",0.5
"1995","B4",0.5
"1996","C5",0.5
"1997","B4",0.5
"1998","A4",0.5
"1999","G4",0.5
"2000","C5",0.5
"2001","C5",1
"2002","B4",0.5
"2003","B4",0.5
"2004","B4",1
"2005","A4",0
"2006","B4",0
"2007","A4",0.5
"2008","G4",0.5
"2009","A4",0.5
"2010","B4",0.5
"2011","G4",1.5
"2012","D4",0.5
"2013","A4",0.111
"2014","G4",0.111
"2015","A4",0.111
"2016","G4",0.111
"2017","A4",0.111
"2018","G4",0.111
"2019","A4",0.111
"2020","G4",0.111
"2021","A4",0.111
"2022","G4",0.5
"2023","D4",0.5
"2024","A4",0.111
"2025","G4",0.111
"2026","A4",0.111
"2027","G4",0.111
"2028","A4",0.111
"2029","G4",0.111
"2030","A4",0.111
"2031","G4",0.111
"2032","A4",0.111
"2033","G4",0.5
"2034","D4",0.5
"2035","A4",0.125
"2036","G4",0.125
"2037","A4",0.125
"2038","G4",0.125
"2039","A4",0.125
"2040","G4",0.125
"2041","D4",0.125
"2042","A4",0.125
"2043","G4",0.125
"2044","A4",0.125
"2045","G4",0.125
"2046","A4",0.125
"2047","G4",0.125
"2048","D4",0.125
"2049","A4",0.125
"2050","G4",0.125
"2051","A4",0.125
"2052","G4",0.125
"2053","A4",0.125
"2054","G4",0.125
"2055","D4",0.125
"2056","A4",0.125
"2057","G4",0.125
"2058","A4",0.125
"2059","G4",0.125
"2060","A4",0.125
"2061","G4",0.125
"2062","D4",0.125
"2063","G4",0.25
"2064","A4",0.25
"2065","B4",0.5
"2066","C5",0
"2067","B4",0.125
"2068","A4",0.125
"2069","B4",0.125
"2070","A4",0.125
"2071","G4",0.25
"2072","F#4",0.25
"2073","F#4",0.25
"2074","A4",0.25
"2075","G4",0.5
"2076","G4",0.5
"2077","G4",0.5
"2078","G4",0.25
"2079","A4",0.25
"2080","B4",0.5
"2081","B4",0.125
"2082","A4",0.125
"2083","B4",0.125
"2084","A4",0.125
"2085","G4",0.25
"2086","F#4",0.25
"2087","F#4",0.25
"2088","A4",0.25
"2089","G4",0.5
"2090","G4",0.5
"2091","G4",0.5
"2092","G4",0.25
"2093","A4",0.25
"2094","B4",0.5
"2095","B4",0.125
"2096","A4",0.125
"2097","B4",0.125
"2098","A4",0.125
"2099","G4",0.25
"2100","F#4",0.25
"2101","D5",2
"2102","D5",0.25
"2103","E5",0.25
"2104","C5",0.5
"2105","C5",0.5
"2106","C5",0.5
"2107","C5",0.25
"2108","D5",0.25
"2109","B4",0.5
"2110","B4",0.5
"2111","B4",0.5
"2112","A4",0.25
"2113","B4",0.25
"2114","C5",0.25
"2115","D5",0.25
"2116","B4",0.25
"2117","G4",0.25
"2118","A4",0.25
"2119","F#4",0.25
"2120","G4",1
"2121","A#4",0.5
"2122","C5",0
"2123","B4",1.5
"2124","A#4",0.5
"2125","C5",0
"2126","B4",1.5
"2127","A#4",0.5
"2128","C5",0
"2129","B4",0.5
"2130","A#4",0.25
"2131","C5",0.25
"2132","B4",0.5
"2133","A#4",0.25
"2134","C5",0.25
"2135","B4",0.5
"2136","A#4",0.25
"2137","C5",0.25
"2138","B4",0.5
"2139","B4",0.25
"2140","G4",0.25
"2141","A4",0.25
"2142","B4",0.25
"2143","C5",0.25
"2144","B4",0.25
"2145","C5",0.25
"2146","A4",0.25
"2147","A4",0.25
"2148","B4",0.25
"2149","B4",0.5
"2150","B4",0.5
"2151","B4",0.5
"2152","B4",0.25
"2153","G4",0.25
"2154","A4",0.25
"2155","B4",0.25
"2156","C5",0.25
"2157","B4",0.25
"2158","C5",0.25
"2159","A4",0.25
"2160","A4",0.25
"2161","C5",0
"2162","B4",0.25
"2163","G4",0.5
"2164","G4",0.5
"2165","G4",0.5
"2166","B4",0.25
"2167","G4",0.25
"2168","A4",0.25
"2169","B4",0.25
"2170","C5",0.25
"2171","B4",0.25
"2172","C5",0.25
"2173","B4",0.25
"2174","A4",2
"2175","A4",0.25
"2176","E5",0.25
"2177","D5",0.25
"2178","C5",0.25
"2179","B4",0.25
"2180","G4",0.25
"2181","A4",0.25
"2182","F#4",0.25
"2183","G4",1
"2184","D4",0.5
"2185","D4",0.25
"2186","D4",0.25
"2187","D4",0.25
"2188","D4",0.25
"2189","D4",0.25
"2190","C5",0.25
"2191","B4",0.25
"2192","A4",0.25
"2193","G4",0.25
"2194","D4",0.25
"2195","G4",0.25
"2196","B4",0.25
"2197","D5",0.5
"2198","D4",0.25
"2199","D4",0.25
"2200","D4",0.25
"2201","D4",0.25
"2202","D4",0.25
"2203","C5",0.25
"2204","B4",0.25
"2205","A4",0.25
"2206","G4",0.25
"2207","F#4",0.25
"2208","G4",0.25
"2209","E4",0.25
"2210","D4",0.5
"2211","D4",0.25
"2212","D4",0.25
"2213","D4",0.25
"2214","D4",0.25
"2215","D4",0.25
"2216","C5",0.25
"2217","B4",0.25
"2218","A4",0.25
"2219","G4",0.25
"2220","D4",0.25
"2221","G4",0.25
"2222","B4",0.25
"2223","D5",1
"2224","D5",0.25
"2225","E5",0.25
"2226","D5",0.25
"2227","C5",0.25
"2228","B4",0.25
"2229","G4",0.25
"2230","A4",0.25
"2231","F#4",0.25
"2232","G4",1
"2233","G4",0.25
"2234","F#4",0.25
"2235","G4",0.25
"2236","B4",0.25
"2237","A4",0.25
"2238","G4",0.25
"2239","F#4",0.25
"2240","A4",0.25
"2241","G4",0.25
"2242","F#4",0.25
"2243","G4",0.25
"2244","B4",0.25
"2245","A4",0.25
"2246","G4",0.25
"2247","F#4",0.25
"2248","A4",0.25
"2249","G4",0.5
"2250","G5",1
"2251","G5",0.5
"2252","D5",0.25
"2253","C5",0.25
"2254","B4",0.25
"2255","A4",0.25
"2256","B4",0.5
"2257","G4",0.5
"2258","G4",0.25
"2259","F#4",0.25
"2260","G4",0.25
"2261","B4",0.25
"2262","A4",0.25
"2263","G4",0.25
"2264","F#4",0.25
"2265","A4",0.25
"2266","G4",0.25
"2267","F#4",0.25
"2268","G4",0.25
"2269","B4",0.25
"2270","A4",0.25
"2271","G4",0.25
"2272","F#4",0.25
"2273","A4",0.25
"2274","G4",0.5
"2275","G5",1
"2276","G5",0.5
"2277","D5",0.25
"2278","C5",0.25
"2279","B4",0.25
"2280","A4",0.25
"2281","G4",0.5
"2282","G5",1
"2283","F#5",0
"2284","G5",0.5
"2285","D5",0.25
"2286","C5",0.25
"2287","B4",0.25
"2288","C5",0.25
"2289","D5",0.5
"2290","D5",0.25
"2291","C5",0.25
"2292","B4",0.25
"2293","A4",0.25
"2294","G4",0.5
"2295","G5",1
"2296","G5",0.5
"2297","D5",0.25
"2298","C5",0.25
"2299","B4",0.25
"2300","A4",0.25
"2301","B4",0.5
"2302","G4",0.5
"2303","G5",1
"2304","F#5",0
"2305","G5",0.5
"2306","D5",0.25
"2307","C5",0.25
"2308","B4",0.25
"2309","C5",0.25
"2310","D5",0.5
"2311","D5",0.25
"2312","C5",0.25
"2313","B4",0.25
"2314","A4",0.25
"2315","G4",0.5
"2316","G5",1
"2317","G5",0.5
"2318","D5",0.25
"2319","C5",0.25
"2320","B4",0.25
"2321","A4",0.25
"2322","G4",0.5
"2323","D5",0.5
"2324","D5",0.25
"2325","D5",0.25
"2326","B4",0.5
"2327","A4",0.5
"2328","G4",0.5
"2329","A4",0.5
"2330","C5",0
"2331","B4",1
"2332","D5",0.5
"2333","D5",0.25
"2334","C5",0.25
"2335","B4",0.5
"2336","A4",0.5
"2337","B4",0.5
"2338","A4",0.25
"2339","A4",0.25
"2340","G4",1
"2341","A4",0.25
"2342","B4",0.25
"2343","G4",0.5
"2344","D4",0.5
"2345","D5",1
"2346","D5",0.25
"2347","C5",0.25
"2348","C5",0.25
"2349","B4",0.25
"2350","D4",0.25
"2351","G4",0.25
"2352","B4",0.25
"2353","D5",0.25
"2354","D5",0.25
"2355","C5",0.25
"2356","C5",0.25
"2357","B4",0.25
"2358","D4",0.25
"2359","G4",0.25
"2360","B4",0.25
"2361","D5",0.25
"2362","D5",0.25
"2363","C5",0.25
"2364","C5",0.25
"2365","B4",0.25
"2366","D5",0.5
"2367","B4",0.5
"2368","D5",0.5
"2369","B4",0.5
"2370","D5",1
"2371","D5",0.25
"2372","C5",0.25
"2373","C5",0.25
"2374","B4",0.25
"2375","D4",0.25
"2376","G4",0.25
"2377","B4",0.25
"2378","D5",0.25
"2379","D5",0.25
"2380","C5",0.25
"2381","C5",0.25
"2382","B4",0.25
"2383","E5",0
"2384","D5",0.5
"2385","C5",0.25
"2386","B4",0.25
"2387","A4",0.25
"2388","B4",0.25
"2389","C5",0.25
"2390","A4",0.25
"2391","G4",2
"2392","C5",0.25
"2393","E5",0.25
"2394","A4",0.25
"2395","C5",0.25
"2396","B4",0.25
"2397","D5",0.25
"2398","G4",0.25
"2399","B4",0.25
"2400","A4",0.25
"2401","C5",0.25
"2402","F#4",0.25
"2403","A4",0.25
"2404","G4",0.25
"2405","B4",0.25
"2406","D5",0.25
"2407","B4",0.25
"2408","C5",0.25
"2409","E5",0.25
"2410","A4",0.25
"2411","C5",0.25
"2412","B4",0.25
"2413","D5",0.25
"2414","G4",0.25
"2415","B4",0.25
"2416","A4",0.25
"2417","C5",0.25
"2418","F#4",0.25
"2419","A4",0.25
"2420","G4",1
"2421","D4",0.5
"2422","G4",1.5
"2423","F#4",0.25
"2424","D4",0.25
"2425","G4",1.5
"2426","F#4",0.25
"2427","D4",0.25
"2428","G4",0.5
"2429","F#4",0.25
"2430","D4",0.25
"2431","G4",0.5
"2432","F#4",0.25
"2433","D4",0.25
"2434","G4",1.5
"2435","G4",0.5
"2436","A4",0.25
"2437","B4",0.25
"2438","C5",0.25
"2439","A4",0.25
"2440","A4",0.25
"2441","B4",0.25
"2442","G4",0.5
"2443","A4",0.25
"2444","B4",0.25
"2445","C5",0.25
"2446","A4",0.25
"2447","A4",0.25
"2448","B4",0.25
"2449","G4",0.5
"2450","D5",0.5
"2451","C#5",0.25
"2452","Bb4",0.25
"2453","A4",0.25
"2454","G4",0.25
"2455","A4",0.25
"2456","Bb4",0.25
"2457","G4",1
"2458","D5",1
"2459","D5",0.25
"2460","C5",0.25
"2461","C5",0.25
"2462","B4",0.25
"2463","B4",0.5
"2464","A4",0.25
"2465","G4",0.25
"2466","A4",0.25
"2467","B4",0.25
"2468","C5",0.25
"2469","D5",0.25
"2470","B4",0.5
"2471","A4",0.25
"2472","G4",0.25
"2473","A4",0.25
"2474","B4",0.25
"2475","C5",0.25
"2476","D5",0.25
"2477","B4",0.25
"2478","A4",0.25
"2479","G4",0.25
"2480","F#4",0.25
"2481","G4",1
"2482","G5",1
"2483","G4",2
"2484","B4",0.75
"2485","G4",0.25
"2486","C5",0.25
"2487","B4",0.25
"2488","A4",0.25
"2489","G4",0.25
"2490","B4",0.25
"2491","G4",0.25
"2492","A4",0.25
"2493","B4",0.25
"2494","C5",0.25
"2495","B4",0.25
"2496","A4",0.25
"2497","G4",0.25
"2498","B4",0.25
"2499","G4",0.25
"2500","A4",0.25
"2501","B4",0.25
"2502","C5",0.25
"2503","B4",0.25
"2504","C5",0.25
"2505","E5",0.25
"2506","D5",1
"2507","F5",1
"2508","F5",0.25
"2509","E5",0.25
"2510","E5",0.25
"2511","D5",0.25
"2512","D5",0.25
"2513","C5",0.25
"2514","C5",0.25
"2515","B4",0.25
"2516","D5",0.25
"2517","C5",0.25
"2518","C5",0.25
"2519","B4",0.25
"2520","B4",0.5
"2521","A4",0.25
"2522","G4",0.25
"2523","A4",0.25
"2524","B4",0.25
"2525","C5",0.25
"2526","D5",0.25
"2527","B4",0.25
"2528","G4",0.25
"2529","A4",0.25
"2530","F#4",0.25
"2531","G4",2
"2532","D5",2
"2533","D5",2
"2534","D5",1
"2535","D5",1
"2536","D5",1
"2537","D5",1
"2538","D5",0.25
"2539","E5",0.25
"2540","F5",0.5
"2541","E5",0.25
"2542","D5",0.25
"2543","C5",0.5
"2544","D5",0.5
"2545","D5",0.5
"2546","G4",1
"2547","D5",0.25
"2548","E5",0.25
"2549","F5",0.5
"2550","E5",0.25
"2551","D5",0.25
"2552","C5",0.5
"2553","D5",0.5
"2554","D5",0.5
"2555","G4",1
"2556","D5",0.25
"2557","E5",0.25
"2558","F5",0.5
"2559","E5",0.25
"2560","D5",0.25
"2561","C5",0.5
"2562","D5",0.25
"2563","C5",0.25
"2564","C5",0.25
"2565","B4",0.25
"2566","B4",0.5
"2567","A4",0.25
"2568","G4",0.25
"2569","A4",0.25
"2570","B4",0.25
"2571","C5",0.25
"2572","D5",0.25
"2573","B4",0.25
"2574","G4",0.25
"2575","A4",0.25
"2576","F#4",0.25
"2577","G4",2
"2578","D4",0.5
"2579","G4",0.25
"2580","G4",0.25
"2581","B4",0.25
"2582","B4",0.25
"2583","D5",0.25
"2584","D5",0.25
"2585","F5",0.25
"2586","E5",0.25
"2587","D5",0.25
"2588","C5",0.25
"2589","B4",0.5
"2590","A4",0.25
"2591","G4",0.25
"2592","D4",0.5
"2593","G4",0.25
"2594","G4",0.25
"2595","B4",0.25
"2596","B4",0.25
"2597","D5",0.25
"2598","D5",0.25
"2599","F5",0.25
"2600","E5",0.25
"2601","D5",0.25
"2602","C#5",0.25
"2603","D5",1
"2604","D4",0.5
"2605","G4",0.25
"2606","G4",0.25
"2607","B4",0.25
"2608","B4",0.25
"2609","D5",0.25
"2610","D5",0.25
"2611","F5",0.25
"2612","E5",0.25
"2613","D5",0.25
"2614","C5",0.25
"2615","B4",0.5
"2616","A4",0.25
"2617","G4",0.25
"2618","G4",0.5
"2619","B4",0
"2620","A4",0.5
"2621","G4",0.25
"2622","F#4",0.25
"2623","E4",0.25
"2624","F#4",0.25
"2625","G4",1
"2626","G5",1
"2627","G4",1.5
"2628","D4",0.5
"2629","D5",1
"2630","D5",0.25
"2631","C5",0.25
"2632","B4",0.25
"2633","C5",0.25
"2634","D5",1
"2635","D5",0.25
"2636","C5",0.25
"2637","B4",0.25
"2638","C5",0.25
"2639","D5",0.25
"2640","C5",0.25
"2641","B4",0.25
"2642","C5",0.25
"2643","D5",0.25
"2644","C5",0.25
"2645","B4",0.25
"2646","C5",0.25
"2647","D5",0.25
"2648","C5",0.25
"2649","B4",0.25
"2650","C5",0.25
"2651","D5",1
"2652","D5",0.25
"2653","C5",0.25
"2654","B4",0.25
"2655","C5",0.25
"2656","D5",0.25
"2657","E5",0.25
"2658","F5",0.25
"2659","E5",0.25
"2660","D5",0.25
"2661","C5",0.25
"2662","C5",0.25
"2663","B4",0.25
"2664","B4",0.25
"2665","A4",0.25
"2666","A4",0.25
"2667","G4",0.25
"2668","D5",0.25
"2669","C5",0.25
"2670","B4",0.25
"2671","C5",0.25
"2672","D5",0.25
"2673","E5",0.25
"2674","F5",0.25
