"","major_pitches","major_durations"
"323","C5",0.25
"324","B4",0.5
"325","A4",0.5
"326","G4",0.5
"327","B4",0.5
"328","A4",0.5
"329","G4",1.5
"330","D4",0.25
"331","G4",0.25
"332","B4",1.5
"333","D5",0.5
"334","D5",0.5
"335","C5",0.5
"336","B4",1
"337","A4",0.167
"338","B4",0.167
"339","A4",0.167
"340","G4",0.5
"341","B4",0.25
"342","C5",0.25
"343","B4",0.25
"344","A4",0.25
"345","G4",0.5
"346","D5",0.5
"347","C#5",0.375
"348","E5",0.125
"349","D5",0.5
"350","B4",1.5
"351","B4",0.25
"352","D5",0.25
"353","D5",0.5
"354","C5",0.5
"355","B4",1
"356","A4",0.167
"357","B4",0.167
"358","A4",0.167
"359","G4",0.5
"360","B4",0.5
"361","A4",0.5
"362","G4",1.5
"363","D4",0.5
"364","G4",1
"365","B4",0.5
"366","D5",0.5
"367","C5",1.5
"368","B4",0.5
"369","B4",0.25
"370","A4",0.25
"371","A4",0.25
"372","G4",0.25
"373","D5",0.5
"374","C5",0.5
"375","B4",0.25
"376","C5",0.25
"377","B4",1
"378","A4",0.25
"379","G4",0.25
"380","B4",1
"381","D5",0.5
"382","C5",0.5
"383","B4",1
"384","A4",0
"385","B4",0
"386","A4",0.75
"387","G4",0.25
"388","A4",1
"389","B4",0.5
"390","A4",0.5
"391","G4",1
"392","D4",0.25
"393","G4",0.25
"394","B4",1
"395","B4",0.25
"396","D5",0.25
"397","C5",0.5
"398","C5",0
"399","D5",0
"400","B4",1.5
"401","A4",0.5
"402","A4",0.5
"403","G4",0.5
"404","D5",0.5
"405","C5",0.5
"406","B4",0.25
"407","D5",0.25
"408","D5",1
"409","C5",0.5
"410","B4",1
"411","D5",0.5
"412","C5",0.5
"413","B4",1.5
"414","A4",0.5
"415","G4",1
"416","B4",0.167
"417","C5",0.167
"418","B4",0.167
"419","A4",0.5
"420","G4",1
"421","D4",0.5
"422","G4",0.5
"423","F#4",0.5
"424","G4",0.5
"425","A4",0.5
"426","A4",0.5
"427","A4",1
"428","B4",0.5
"429","A4",0.5
"430","G4",0.5
"431","D5",0.5
"432","A4",0.5
"433","A4",0.5
"434","A4",1
"435","D4",0.5
"436","G4",0.5
"437","F#4",0.5
"438","G4",0.5
"439","A4",1
"440","B4",1
"441","A4",0.5
"442","G4",0.5
"443","F#4",0.5
"444","A4",0.5
"445","G4",0.5
"446","A4",0.25
"447","G4",0.25
"448","F#4",0.5
"449","E4",0.5
"450","G4",2
"451","B4",0.75
"452","A4",0.25
"453","B4",0.25
"454","C5",0.25
"455","D5",0.25
"456","C5",0.25
"457","B4",0.5
"458","B4",0.25
"459","A4",0.25
"460","B4",0.25
"461","C5",0.25
"462","D5",0.25
"463","C5",0.25
"464","B4",0.5
"465","B4",0.25
"466","A4",0.25
"467","B4",0.25
"468","C5",0.25
"469","D5",0.25
"470","C5",0.25
"471","B4",0.25
"472","C5",0.25
"473","A4",0.25
"474","B4",0.25
"475","G4",1
"476","A4",0.5
"477","A4",1
"478","C5",0.5
"479","B4",0.75
"480","A4",0.25
"481","B4",0.25
"482","C5",0.25
"483","D5",0.5
"484","A4",0.5
"485","A4",1
"486","C5",0.5
"487","B4",0.25
"488","C5",0.25
"489","A4",0.25
"490","B4",0.25
"491","G4",1
"492","B4",0.167
"493","C5",0.167
"494","B4",0.167
"495","G4",0.5
"496","C5",0.167
"497","D5",0.167
"498","C5",0.167
"499","A4",0.5
"500","B4",0.167
"501","C5",0.167
"502","B4",0.167
"503","G4",0.5
"504","C5",0.167
"505","D5",0.167
"506","C5",0.167
"507","A4",0.5
"508","B4",0.5
"509","G4",0.25
"510","D5",0.25
"511","C5",0.25
"512","B4",0.25
"513","C5",0.25
"514","A4",0.25
"515","G4",1
"516","D5",1
"517","B4",0.167
"518","C5",0.167
"519","B4",0.167
"520","D5",0.5
"521","C5",0.25
"522","B4",0.25
"523","C5",0.25
"524","A4",0.25
"525","B4",0.25
"526","G4",0.25
"527","B4",0.25
"528","D5",0.25
"529","C5",0.25
"530","B4",0.25
"531","C5",0.25
"532","A4",0.25
"533","B4",0.25
"534","G4",0.25
"535","B4",0.25
"536","D5",0.25
"537","C5",0.25
"538","B4",0.25
"539","C5",0.25
"540","A4",0.25
"541","G4",0.5
"542","D5",1
"543","G5",2
"544","G5",2
"545","G5",1
"546","G5",1
"547","G5",0.5
"548","D5",0.5
"549","G5",0.5
"550","D5",0.5
"551","B4",0.167
"552","C5",0.167
"553","B4",0.167
"554","G4",0.25
"555","D5",0.25
"556","C5",0.167
"557","D5",0.167
"558","C5",0.167
"559","A4",0.25
"560","C5",0.25
"561","B4",0.167
"562","C5",0.167
"563","B4",0.167
"564","G4",0.25
"565","D5",0.25
"566","C5",0.167
"567","D5",0.167
"568","C5",0.167
"569","A4",0.25
"570","C5",0.25
"571","B4",0.5
"572","G4",0.25
"573","D5",0.25
"574","C5",0.25
"575","B4",0.25
"576","C5",0.25
"577","A4",0.25
"578","G4",0.5
"579","C#5",0
"580","D5",1
"581","B4",0.167
"582","C5",0.167
"583","B4",0.167
"584","G4",0.5
"585","C5",0.167
"586","D5",0.167
"587","C5",0.167
"588","A4",0.5
"589","B4",0.25
"590","G4",0.25
"591","B4",0.25
"592","D5",0.25
"593","C5",0.167
"594","D5",0.167
"595","C5",0.167
"596","A4",0.5
"597","B4",0.25
"598","G4",0.25
"599","B4",0.25
"600","D5",0.25
"601","C5",0.25
"602","B4",0.25
"603","C5",0.25
"604","A4",0.25
"605","G4",0.5
"606","C#5",1
"607","D5",2
"608","D5",2
"609","E5",0
"610","D5",1
"611","G5",1
"612","E5",0
"613","D5",1
"614","E5",0.25
"615","D5",0.25
"616","B4",1.5
"617","D5",0.25
"618","C5",0.25
"619","B4",1.5
"620","D5",0.25
"621","C5",0.25
"622","B4",0.5
"623","D5",0.25
"624","C5",0.25
"625","B4",0.5
"626","D5",0.25
"627","C5",0.25
"628","B4",1.5
"629","D5",0.5
"630","D5",0.25
"631","C5",0.25
"632","C5",0.25
"633","B4",0.25
"634","B4",0.75
"635","D5",0.25
"636","D5",0.25
"637","C5",0.25
"638","C5",0.25
"639","B4",0.25
"640","B4",0.75
"641","D5",0.25
"642","D5",0.25
"643","C5",0.25
"644","C5",0.25
"645","B4",0.25
"646","B4",0.25
"647","A4",0.25
"648","A4",0.25
"649","G4",0.25
"650","A4",0.25
"651","B4",0.25
"652","G4",0.5
"653","G4",0.25
"654","D4",0.25
"655","G4",0.25
"656","A4",0.25
"657","A4",0.25
"658","B4",0.25
"659","G4",1
"660","D5",0.5
"661","F5",0.25
"662","E5",0.25
"663","D5",0.25
"664","C5",0.25
"665","B4",1
"666","A4",0.25
"667","B4",0.25
"668","C5",0.25
"669","A4",0.25
"670","B4",1
"671","F5",0.25
"672","E5",0.25
"673","D5",0.25
"674","C5",0.25
"675","B4",1
"676","B4",1.5
"677","D5",0.5
"678","D5",0.25
"679","C5",0.25
"680","C5",0.25
"681","B4",0.25
"682","D5",1
"683","B4",1.5
"684","D5",0.5
"685","D5",0.25
"686","C5",0.25
"687","C5",0.25
"688","B4",0.25
"689","B4",0.5
"690","A4",0.25
"691","G4",0.25
"692","B4",1.5
"693","D5",0.5
"694","D5",0.25
"695","C5",0.25
"696","C5",0.25
"697","B4",0.25
"698","D5",1
"699","B4",0.25
"700","G4",0.25
"701","B4",0.25
"702","D5",0.25
"703","C5",0.5
"704","B4",0.5
"705","B4",0.25
"706","G4",0.25
"707","B4",0.25
"708","D5",0.25
"709","C5",0.5
"710","B4",0.5
"711","B4",0.25
"712","C5",0.25
"713","D5",0.25
"714","E5",0.25
"715","F5",0.25
"716","E5",0.25
"717","D5",0.25
"718","C#5",0.25
"719","D5",0.5
"720","G5",1
"721","B4",0.25
"722","G4",0.25
"723","B4",0.25
"724","D5",0.25
"725","C5",0.5
"726","B4",0.5
"727","D5",0.5
"728","C#5",0
"729","D5",1
"730","G4",2
"731","F#5",0.25
"732","G5",0.25
"733","F#5",0.25
"734","G5",0.25
"735","E5",0.5
"736","D5",0.25
