89	cc
80	g
74	dd
47	a-
47	bn
39	ee-
39	f
35	a
30	gg
28	b
26	ff
24	c
19	b-
12	d
6	e-
4	aa-
4	n
3	een
3	e
2	an
1	ee
1	fn
1	en
