9	1
7	1
6	1
7	1
9	1
10	1
2	1
1	2
4	2
2	2
1	2
10	2
9	2
7	3
7	3
5	3
5	3
4	3
2	3
4	3
5	3
2	4
7	4
7	5
9	5
5	5
5	5
7	5
4	5
4	6
5	6
2	6
2	6
4	6
1	6
4	7
2	7
1	7
2	7
4	7
5	7
4	7
2	7
1	7
4	8
2	8
11	8
0	9
11	9
0	9
11	9
5	9
4	9
2	9
1	9
2	10
1	10
10	10
9	10
7	10
7	11
2	11
1	11
10	11
9	11
7	11
9	11
10	11
7	12
7	13
7	13
10	13
2	13
7	14
7	14
5	14
4	14
2	14
4	15
5	15
2	15
2	15
7	16
2	16
7	16
2	16
7	16
5	16
4	16
2	16
4	17
5	17
2	17
11	17
11	18
2	18
2	18
0	18
0	18
11	18
11	19
5	19
5	19
4	19
4	19
2	19
4	20
2	20
1	20
2	20
4	20
5	20
4	20
2	20
1	20
4	21
2	21
11	21
0	22
11	22
0	22
11	22
5	22
4	22
2	22
1	22
4	23
2	23
1	23
10	23
9	23
7	23
7	24
2	24
1	24
10	24
9	24
7	24
9	24
10	24
7	25
2	1
7	1
6	1
7	1
9	1
0	1
10	1
9	1
7	1
4	2
2	2
1	2
10	2
1	2
10	2
9	2
7	2
7	3
5	3
4	3
2	3
1	3
2	3
4	3
1	3
4	4
2	4
7	4
2	5
7	5
6	5
7	5
9	5
10	5
9	5
7	5
4	6
2	6
1	6
10	6
1	6
10	6
9	6
7	6
10	7
0	7
10	7
9	7
7	7
6	7
2	7
6	7
9	7
7	8
2	
7	9
7	10
7	11
7	11
7	12
7	12
7	13
5	13
5	13
4	13
7	13
7	14
5	14
5	14
4	14
7	14
5	14
4	14
2	15
5	15
4	15
2	15
1	15
4	15
2	15
1	15
4	16
2	16
2	16
2	17
1	17
1	17
10	17
2	17
2	18
1	18
1	18
10	18
10	18
10	19
0	19
10	19
9	19
7	19
6	19
2	19
6	19
9	19
7	20
2	20
4	20
2	20
1	20
2	20
7	21
10	22
7	23
2	1
2	1
2	1
2	1
1	2
4	2
2	2
7	2
7	3
9	3
10	3
1	4
10	4
5	5
4	5
2	5
1	6
4	6
2	6
10	6
2	7
1	7
10	7
10	7
9	7
7	7
7	8
10	8
2	8
7	8
7	9
2	9
7	10
6	10
7	10
9	10
10	10
9	10
10	10
1	10
2	11
1	11
2	11
4	11
5	11
4	11
5	11
7	11
5	12
4	12
2	12
5	12
4	12
2	12
1	12
4	12
2	13
7	13
9	13
10	13
1	14
10	14
2	14
7	15
9	15
10	15
1	16
10	16
2	17
1	17
10	17
10	17
9	17
7	17
2	18
1	18
10	18
10	18
9	18
7	18
7	19
7	1
2	1
7	1
9	2
10	2
1	2
2	2
1	3
10	3
9	3
7	3
1	4
4	4
2	4
7	5
2	5
7	5
9	6
10	6
1	6
2	6
1	7
10	7
9	7
7	7
7	8
7	9
2	9
7	10
5	10
4	11
2	11
4	12
2	12
1	13
10	13
2	14
2	14
2	14
2	14
1	15
10	15
9	15
7	15
1	16
4	16
2	16
2	17
7	17
10	17
2	17
7	18
5	18
4	19
2	19
4	20
2	20
1	21
10	21
2	22
2	22
2	22
2	22
