composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Albéniz,2.73451,2.87951,53.6131,3/4 ,1889,1.8716
Bach,2.85035,2.53369,55.4144,2/4 ,1770,1.91969
Bach,2.70872,2.89373,76.3194,4/4 ,1772,1.58496
Bach,2.47246,2.93565,0,3/4 ,1710,0
Beethoven,1.80164,2.17136,86.0317,2/4 ,1811,1.85429
Beethoven,2.52964,2.41642,104.444,2/4 ,1811,1.12386
Beethoven,2.98832,2.86309,32.1088,3/4 ,1812,1.08631
Beethoven,3.16893,2.81376,90.6212,3/4 ,1812,2.18924
Beethoven,2.70363,2.5942,29.6296,3/4 ,1812,0.530406
Beethoven,2.52323,2.47291,87.7922,3/4 ,1812,1.58496
Beethoven,1.95133,2.80575,66.6667,3/4 ,1812,0.996792
Beethoven,2.70356,3.01514,50.887,2/4 ,1812,1.45742
Beethoven,2.59358,2.77989,32.3413,2/4 ,1812,1.29131
Beethoven,2.84644,2.60869,29.0196,2/4 ,1812,1.50027
Bach,2.10765,2.59582,66.7967,3/4 ,1741,2.40734
Beethoven,3.21947,3.35327,11.4815,3/4 ,1812,0.548954
Beethoven,2.43707,2.82585,48.5714,3/4 ,1812,1.45656
Beethoven,2.29196,2.02315,27.4369,2/2 ,1812,1.50124
Beethoven,2.73333,3.20899,24.8889,2/2 ,1812,0.764205
Beethoven,2.71078,2.75272,29.1005,2/2 ,1812,1.04085
Beethoven,2.25241,2.93988,53.3333,2/2 ,1812,1.52193
Beethoven,3.12165,2.39208,83.7094,2/4 ,1822,2.479
Beethoven,2.06631,2.83508,54.1353,2/4 ,1822,1.29546
Beethoven,2.69238,2.69238,87.5,2/4 ,1822,0.991076
Beethoven,2.546,3.2575,74.963,2/4 ,1822,2.16993
Bach,2.96892,2.77736,6.06061,4/4 ,1723,0.918296
Beethoven,2.35591,2.8314,7.93651,3/4 ,1822,0.530406
Beethoven,2.43294,2.86139,71.3725,3/4 ,1822,1.04085
Beethoven,2.089,2.40479,48.2857,2/2 ,1822,2.03816
Beethoven,2.29427,2.98477,0,2/2 ,1822,0
Beethoven,2.61006,2.82059,49.0476,4/4 ,1822,1.92417
Beethoven,2.39374,2.67141,36.5079,3/4 ,1822,1.49492
Beethoven,2.69835,2.19869,6.06061,3/4 ,1822,0.49715
Beethoven,2.05792,2.41383,38.3333,4/4 ,1822,1.48853
Beethoven,2.55415,2.58847,51.5152,3/2 ,1822,0.836641
Beethoven,2.23346,1.80504,46,2/2 ,1822,1.78416
Bach,2.58202,3.23127,3.50877,4/4 ,1723,0.286397
Beethoven,2.76574,3.13582,0,2/2 ,1822,0
Beethoven,2.80735,2.95021,15.5556,4/4 ,1797,1.15678
Beethoven,2.76031,2.5048,114.49,3/4 ,1797,1.53012
Beethoven,2.34805,2.93812,52.987,4/4 ,1797,1.95915
Beethoven,2.65709,2.71369,74.6667,3/4 ,1794,1.73827
Beethoven,2.75687,2.68282,27.7778,3/4 ,1794,0.721928
Beethoven,2.55143,3.00752,6.66667,3/4 ,1794,0.791858
Beethoven,2.70689,2.65656,14.8148,2/4 ,1794,0.99403
Beethoven,2.45161,2.4682,30.2222,3/4 ,1794,0.977418
Beethoven,2.60222,2.43004,52.381,3/4 ,1794,1.49492
Bach,2.20307,2.93366,21,3/8 ,1723,1.11828
Beethoven,2.61006,2.68953,15.3846,2/2 ,1794,0.591673
Beethoven,1.96794,2.65709,53.2653,2/2 ,1794,1.37095
Beethoven,2.30042,2.95915,10.5263,3/4 ,1808,0.747585
Beethoven,2.44644,2.64644,31.1111,3/4 ,1808,1.37878
Beethoven,,,96.5001,2/4 ,1808,2.88551
Beethoven,2.72821,2.8037,18.0952,4/4 ,1808,0.905587
Beethoven,2.59353,2.62948,53.3333,4/4 ,1810,1.69227
Beethoven,2.11357,2.86669,16.8116,4/4 ,1810,0.816689
Beethoven,2.12661,2.72722,42,3/4 ,1810,1.67674
Beethoven,2.42594,2.75386,23.5294,3/4 ,1810,0.591673
Bach,2.9223,2.93099,3.92157,3/8 ,1723,0.918296
Beethoven,2.8152,2.71996,28.8889,3/4 ,1810,1.24756
Beethoven,2.13339,2.22807,45.5556,3/4 ,1810,1.41956
Beethoven,2.30782,2.28448,76.4318,2/4 ,1810,2.10796
Beethoven,2.08307,2.72419,15.1515,6/8 ,1797,0.840491
Beethoven,2.80351,3.13684,61.1765,6/8 ,1797,1.76096
Beethoven,2.57834,2.58393,12.5,2/4 ,1809,1.08631
Beethoven,2.70523,2.71078,70,6/8 ,1795,1.29584
Beethoven,2.93172,3.15239,79.1144,3/4 ,1806,2.59967
Beethoven,2.34361,2.28079,11.7647,3/4 ,1806,0.918296
Bellini,2.45714,2.32345,82.0202,4/4 ,,2.28448
Bach,2.30719,2.89542,43.0159,4/4 ,1723,1.55666
Bellini,2.19707,3.14964,1.21241,4/4 ,,0.191433
Bellini,2.60982,2.77292,40.6595,4/4 ,,1.78325
Berlioz,2.66543,3.14162,37.4436,3/8 ,,1.43925
Berlioz,2.67034,2.58426,64.6296,3/4 ,,2.26381
Berlioz,3.27958,3.21897,44.7771,2/2 ,,2.15953
Berlioz,2.28259,2.86625,37.5,2/2 ,,1.36096
Berlioz,2.62268,2.72229,0,2/2 ,,0
Berlioz,2.75273,3.02945,71.5492,2/2 ,,2.37744
Berlioz,2.70523,2.52494,67.5,3/4 ,,0.619382
Berlioz,2.81045,3.00568,94.982,3/4 ,,2.1494
Bach,2.71343,3.12621,30.8772,3/8 ,1723,1.57262
Berlioz,2.43151,2.97216,0,2/2 ,,0
Berlioz,2.21535,3.25801,7.40741,2/2 ,1844,0.547553
Berlioz,2.80322,2.99908,40.4167,4/4 ,1844,1.91997
Berlioz,2.56584,3.00569,46.6667,2/2 ,1844,1.24067
Berlioz,2.38077,2.5875,120.635,4/4 ,1826,1.45742
Berlioz,2.7756,2.71007,62.9365,4/4 ,1826,1.7274
Berlioz,2.35409,3.11118,21.2346,2/2 ,1826,0.574828
Berlioz,2.96361,2.70973,119.531,2/2 ,1826,2.10209
Berlioz,2.86575,2.95915,53.3113,4/4 ,1831,2.57095
Berlioz,2.82424,2.76765,45.9203,4/4 ,1831,1.48366
Bach,2.35235,2.90005,16.6667,3/8 ,1723,0.863121
Berlioz,2.80165,3.18343,7.61944,2/2 ,1831,1.45727
Berlioz,2.89551,2.92982,43.8095,2/2 ,1831,1.42947
Berlioz,2.72013,2.73216,69.0476,2/2 ,1831,1.86312
Berlioz,3.16439,2.94971,64.7232,3/4 ,1844,2.00489
Berlioz,3.14923,2.9425,54.902,6/8 ,1844,0.991076
Berlioz,2.4404,2.41896,51.5152,6/8 ,1844,0.961237
Berlioz,2.11473,2.86527,32.9825,6/8 ,1844,1.22073
Berlioz,2.61934,2.97084,23.8462,2/2 ,,0.986427
Berlioz,2.47722,2.7744,71.5238,3/4 ,,1.86763
Berlioz,2.7364,3.1473,37.1831,2/2 ,,2.11249
Bach,3.03915,2.89629,30.9091,4/4 ,1723,1.28067
Berlioz,2.7807,3.11021,3.7037,3/8 ,,0
Berlioz,2.93157,2.68897,0,3/8 ,,0
Berlioz,2.99443,2.81261,34.0741,3/4 ,,1.59436
Berlioz,2.82795,2.93896,72.4127,4/4 ,1830,2.01131
Berlioz,2.97095,2.70869,67.1463,4/4 ,1830,1.62256
Berlioz,2.40136,2.55351,84.1919,4/4 ,1830,1.95282
Berlioz,3.1899,3.0314,42.3968,4/4 ,1830,1.65419
Berlioz,2.28242,3.06977,34.5098,3/8 ,1830,0.774243
Berlioz,2.4251,2.54488,67.7778,3/8 ,1830,1.33827
Berlioz,2.75708,2.95947,31.1111,6/8 ,1830,0.986427
Bach,2.66269,2.92096,61.0364,3/4 ,1772,2.47066
Bach,2.65868,2.96973,7.84314,3/4 ,1723,0.991076
Berlioz,2.5925,3.09167,38.7164,6/8 ,1830,1.59933
Berlioz,2.32347,3.03892,40,4/4 ,1830,1.40341
Berlioz,2.52174,2.73333,80.7273,4/4 ,1830,1.95425
Berlioz,2.57947,3.06347,53.6667,6/8 ,1830,1.40798
Berlioz,2.73787,2.58583,66.6667,6/8 ,1830,0.997503
Berlioz,2.38376,2.92353,35.1852,6/8 ,1830,1.18973
Berlioz,2.82787,3.03279,0,3/4 ,1834,0
Berlioz,2.27879,2.954,28.3333,3/4 ,1834,1.12211
Berlioz,2.96096,2.72322,100.838,3/4 ,1834,2.06625
Berlioz,2.88955,2.7275,79.9365,3/4 ,1834,1.79248
Bach,2.7275,2.89542,34.9206,3/4 ,1723,1.37878
Berlioz,3.18928,3.06347,24.5614,6/8 ,1834,0.591673
Berlioz,2.47722,2.35222,45.8333,6/8 ,1834,1.86763
Berlioz,2.43368,2.92971,20.8333,2/4 ,1834,1.08631
Berlioz,2.39742,1.87291,71.3043,6/8 ,1834,2.12581
Berlioz,2.76615,2.7347,74.2093,6/8 ,1834,1.89427
Berlioz,3.13329,3.2592,50,2/2 ,1834,0.79504
Berlioz,2.53784,3.1087,42.0635,2/2 ,1834,1.65366
Berlioz,2.11479,2.31291,101.429,2/2 ,1834,1.28669
Bernstein,2.87821,2.67787,71.9048,4/4 3/4 ,1944,1.81136
Bernstein,2.39994,2.36348,54.5299,2/2 ,1944,1.33616
Bernstein,2.31682,2.05317,51.0603,2/2 ,1944,1.84125
Bernstein,2.92323,3.00624,82.4691,4/4 ,1944,1.78067
Bernstein,2.90967,2.81656,38.4615,2/4 ,1944,0.309543
Bernstein,2.56584,2.36772,90.1108,2/4 ,1944,2.16457
Bernstein,2.06925,2.3219,29.6296,3/4 3/8 4/4 3/4 3/8 3/4 ,1944,0.881291
Bernstein,2.89741,2.49302,62.8283,4/4 ,1944,1.22439
Bernstein,2.63411,2.33626,63.0386,4/4 ,1944,2.39954
Bernstein,2.38105,1.81537,44.4444,6/8 ,1944,0.899744
Bernstein,2.7275,2.53661,41.6667,5/4 4/4 5/4 ,1943,0.413817
Bernstein,2.41309,2.41309,56.4626,5/4 6/4 ,1943,1.81128
Bernstein,3.16307,2.93869,78.6905,4/4 ,1943,1.73995
Bernstein,3.07908,2.7405,5.55556,6/8 8/8 6/8 ,1943,0.286397
Bernstein,2.70356,2.70356,42.1769,4/4 3/8 4/4 3/8 4/4 ,1943,2.02749
Bernstein,2.46951,2.3523,37.8285,3/4 2/4 3/4 ,1943,2.14061
Bernstein,2.63853,2.2147,80.401,4/4 3/4 ,1943,1.88417
Bernstein,2.85367,2.78059,57.5537,3/4 ,1943,1.66795
Bizet,2.96855,2.89389,56.4295,4/4 ,1872,1.70337
Bizet,2.7187,3.14586,38.9945,4/4 ,1872,1.61357
Bach,2.49047,2.52821,8.33333,9/8 ,1723,0.322757
Bizet,2.12005,2.68294,12.8205,3/4 ,1872,0.825627
Bizet,2.42877,2.37931,69.0476,3/4 ,1872,1.28669
Bizet,2.28874,2.83724,2.66667,3/4 ,1872,0.235193
Bizet,2.54759,2.42278,44.0009,3/4 ,1872,2.20108
Bizet,2.38359,2.66578,24.6504,3/4 ,1872,1.40468
Bizet,2.29207,2.54453,84.1492,6/8 ,1872,2.23226
Bizet,2.34933,2.9701,48.1441,4/4 ,1872,1.62272
Bizet,2.67038,2.44856,36.0248,3/4 ,1872,1.29546
Bizet,2.43083,2.93172,53.3333,4/4 ,1872,1.64571
Bizet,2.82322,2.9037,51.8519,4/4 ,1872,1.74647
Bach,2.09984,3.16681,0,4/4 ,1723,0
Bizet,3.09665,2.94971,22.7743,3/4 ,1872,1.61433
Bizet,2.11317,2.45023,7.52688,2/4 ,1872,0.723002
Bizet,2.23122,2.17284,23.2804,2/4 ,1873,0.831544
Bizet,2.5275,2.8152,16.6667,2/4 ,1873,0.787127
Bizet,2.52494,2.44107,81.0794,2/4 ,1873,1.98777
Bizet,2.96124,2.87413,28.7179,3/4 ,1873,0.591673
Bizet,2.68548,2.28338,65.5238,2/4 ,1873,1.42561
Bizet,2.61719,2.55605,0,2/4 ,1873,0
Bizet,1.87851,2.6992,22.2222,3/4 ,1873,0.985228
Bizet,2.73715,2.98233,43.2248,4/4 ,1873,1.96011
Bach,2.63996,2.91128,5.55556,12/8 ,1723,0.947169
Bizet,2.3949,2.97578,61.5873,3/8 ,1873,1.99561
Bizet,2.68872,2.28658,75.8242,4/4 ,1871,1.34214
Bizet,2.8014,2.96381,54.2222,6/8 ,1871,1.71776
Bizet,2.38259,2.96059,26.6667,2/4 ,1871,0
Bizet,2.76336,3.02086,27.2464,2/4 ,1871,1.14012
Bizet,2.82217,2.82732,8.33333,2/4 ,1871,0.242292
Bizet,3.25513,2.39874,23.3333,2/2 ,1855,0.543564
Bizet,2.76596,2.98418,27.7778,2/2 ,1855,0
Bizet,2.57662,2.09472,72.3036,2/2 ,1855,1.875
Bizet,2.5921,2.68264,51.4286,9/8 ,1855,2.26381
Bach,3.13394,2.84411,14.2857,4/4 ,1723,1.06662
Bizet,2.56096,2.76596,45.4945,9/8 ,1855,1.68948
Bizet,2.71327,2.51908,31.25,3/4 ,1855,0.978016
Bizet,2.52204,3.13901,0,2/4 ,1855,0
Bizet,2.70969,2.66688,53.0326,2/4 ,1855,1.71178
Bizet,3.2211,2.90005,25.641,2/4 ,1855,0.353359
Bloch,3.10928,2.99908,56.5578,4/4 ,1923,2.20108
Bloch,2.70453,2.29885,62.4359,4/4 ,1923,1.80735
Bloch,2.23031,2.77869,14.0741,2/4 ,1923,0.590724
Bloch,2.94376,2.68042,26.0014,2/4 ,1923,1.75
Bloch,2.99139,2.72823,47.4074,2/4 ,1925,0.899568
Bach,3.08233,2.71521,14.0351,4/4 ,1723,0.970951
Bloch,2.16321,2.75506,88.5315,3/4 ,1925,2.21702
Bloch,1.92724,2.46338,28.3333,3/4 ,1925,1.09754
Bloch,2.3028,3.68642,14.7778,3/4 ,1925,0.818096
Bloch,2.70523,2.59412,75.3535,4/4 ,1925,2.03816
Bloch,2.64721,2.47327,82.3787,4/4 ,1925,1.97356
Bloch,2.70523,2.35021,61.4719,6/8 9/8 ,1925,1.26381
Bloch,2.16321,2.60481,50.1587,2/4 3/4 ,1925,2.07416
Bloch,2.11122,2.44641,45.6548,3/4 2/4 ,1925,1.9328
Bloch,2.32441,2.35164,36.1111,3/4 4/4 ,1925,1.61433
Bloch,3.20897,2.85182,33.3333,4/4 ,1925,0.816689
Bach,2.75708,2.92665,10.5263,4/4 ,1723,0.970951
Bloch,2.67937,2.62955,0,4/4 ,1925,0
Bloch,2.58952,2.46507,42.7535,2/4 ,1916,2.13394
Bloch,2.54979,2.58426,82.1112,2/4 ,1916,2.23892
Bloch,2.59707,2.94536,6.48148,3/4 4/4 ,1916,0.235193
Bloch,2.21702,2.21702,41.6667,6/8 ,1916,0.439497
Bloch,2.35455,2.14928,34,4/4 ,1916,1.27291
Bloch,2.33291,2.09227,51.1111,6/8 ,1916,1.97095
Bloch,2.08496,1.79248,48.7662,3/4 ,1916,1.57095
Bloch,2.53661,2.60985,58.5185,3/4 ,,1.45915
Bloch,2.28925,2.14647,51.0616,4/4 ,1916,1.95915
Bach,3.20337,2.82706,10.5263,12/8 ,1723,0.468996
Bloch,2.14926,2.20624,73.9744,2/4 ,1916,1.67674
Bloch,1.91612,2.02272,7.14408,2/4 ,1916,0.985228
Bloch,2.48855,2.33551,24.2424,4/4 2/4 4/4 ,1921,0.985228
Bloch,1.80624,1.83226,58.3333,3/2 ,1921,1.43552
Bloch,2.38548,1.76596,90.4383,12/8 ,1921,2.07291
Bloch,2.55504,2.18004,32.7792,4/4 ,1921,1.73815
Bloch,2.06737,2.01974,13.3333,2/4 ,1921,0
Bloch,2.82347,2.99917,67.7778,12/8 ,1915,1.58268
Bloch,2.85663,2.99536,65.6263,4/4 ,1915,1.76386
Bloch,2.02941,2.21885,115.152,3/4 ,1915,1.59167
Bach,2.71078,3.04411,31.1111,4/4 ,1723,0.988699
Bloch,2.73143,2.98832,52.8768,4/4 3/4 ,1915,2.1163
Bloch,2.61682,3.01715,41.1111,6/4 7/4 6/4 9/4 ,1915,0.80767
Bloch,2.60882,2.28167,22.3517,4/4 ,1915,1.59047
Bloch,2.6933,2.22026,31.8519,3/4 ,1920,0.979869
Bloch,2.10776,2.73576,108.301,3/4 ,1920,2.1163
Bloch,2.81947,2.60307,71.9577,4/4 ,1920,2.04854
Bloch,2.45659,3.19061,60.46,3/4 ,1919,2.81803
Bloch,2.81123,2.67079,28.8889,4/4 5/4 3/4 4/4 ,1919,1.18838
Bloch,1.7815,2.54644,91.8056,4/4 ,1919,1.65788
Bloch,2.43174,2.53302,71.6728,2/4 ,1919,1.84125
Bach,2.37302,2.41947,53.584,2/2 ,1774,2.02322
Bach,3.09003,2.86558,38.0952,4/4 ,1723,1.08631
Bloch,2.59967,2.79465,42.2222,2/4 ,1919,1.44882
Bloch,2.70523,2.70523,36.3636,3/4 ,1919,1.19818
Bloch,2.14573,2.49175,19.6078,2/4 ,1919,0.774243
Bloch,2.82996,2.59358,65.5664,2/4 3/4 ,1912,1.75022
Bloch,2.39355,2.45161,87.8571,3/4 ,1912,1.56832
Bloch,1.76016,1.87789,25.1323,3/4 2/4 3/4 ,1912,0.774243
Bloch,2.4949,2.26975,75.6261,3/4 ,1912,1.74274
Bloch,2.84027,2.45358,77.9798,2/4 ,1912,2.21258
Bloch,2.96381,2.58316,62.5397,2/4 ,1924,1.19417
Bloch,2.28679,2.48853,56.0714,2/4 ,1924,1.65774
Bach,2.47718,3.02717,25,3/4 ,1723,1.22439
Bloch,3.02263,2.14036,29.1667,3/4 ,1924,0.650022
Boccherini,2.26982,2.86061,26.1257,4/4 ,,1.77372
Boccherini,2.63283,2.87009,22.1612,4/4 ,,1.59552
Boccherini,2.47255,3.0223,50.1903,4/4 ,,2.54511
Boccherini,2.84145,2.74145,74.6397,3/4 ,,2.25
Boccherini,1.92586,2.1652,12.3649,4/4 ,1770,1.17607
Boccherini,2.92585,2.92585,47.5737,4/4 ,1770,1.54879
Boccherini,2.33229,2.23562,31.5873,4/4 ,1770,1.58657
Boccherini,2.61139,2.69527,18.5185,3/8 ,1770,0.629249
Boccherini,2.1383,2.77645,27.7949,3/8 ,1770,1.28002
Bach,2.82821,3.27095,40,4/4 ,1723,0.522559
Boccherini,1.9943,2.39327,46.3188,4/4 ,1770,2.35077
Boccherini,2.56404,3.02613,52.6165,4/4 ,1770,2.57393
Boccherini,2.37123,2.4112,15.1515,3/8 ,1770,1.32578
Boccherini,1.76049,2.90984,4.44444,4/4 ,,0.205593
Boccherini,2.75687,2.66937,34.7972,4/4 ,,1.71878
Boccherini,2.63755,3.26346,59.5288,4/4 ,,2.27377
Boccherini,2.58682,2.50282,32.2222,3/4 ,,1.46184
Boccherini,2.48418,2.87095,35.7128,3/4 ,,1.70338
Boccherini,1.91002,2.70839,18.4127,3/4 ,,0.865857
Boccherini,2.73685,2.69687,23.8095,6/8 ,1781,0.666578
Bach,2.98034,2.81321,40,3/8 ,1723,2.15597
Boccherini,2.75392,3.17757,35.5556,2/4 ,1781,1.54515
Boccherini,2.83604,2.46951,23.0125,3/4 ,1781,1.42879
Boccherini,2.30226,2.47044,22.6087,3/4 ,1781,1.16399
Boccherini,2.31752,3.10113,21.645,2/4 ,1781,0.973784
Boccherini,2.28969,2.8849,27.0215,3/8 ,,1.35933
Boccherini,2.60663,2.25686,69.1552,4/4 ,,1.86607
Boccherini,2.97625,2.63692,31.1111,3/4 ,,1.57262
Boccherini,2.38605,3.0648,26.6667,3/4 ,,0.997503
Boccherini,2.3245,2.04584,65.034,2/4 ,,1.53948
Boccherini,2.43779,2.15502,40.2857,4/4 ,,2.02073
Bach,1.74717,2.7744,32.2222,3/8 ,1723,1.45727
Boccherini,2.33348,2.28333,64.5833,6/8 ,,2.09486
Boccherini,3.02142,2.78583,42.4242,2/4 ,,0.886541
Boccherini,2.06577,1.66493,15.3846,2/4 ,,0.591673
Boccherini,3.36031,2.23534,14.8148,2/4 ,,1.23639
Boccherini,2.50771,2.6986,77.7778,2/4 ,,1.95236
Boccherini,2.29463,2.70356,39.5238,2/4 ,,1.54515
Boccherini,1.88018,2.32042,29.0196,4/4 ,,1.40468
Boccherini,2.4138,2.4138,42.2222,4/4 ,,1.82307
Boccherini,2.32817,2.61388,62.2222,2/4 ,,1.9977
Boccherini,2.18938,2.94971,42.0193,4/4 ,,2.43936
Bach,2.6494,2.78064,35.1515,2/4 ,1735,1.38443
Boccherini,2.13547,2.58362,29.8667,4/4 ,,1.73815
Boccherini,2.05792,2.90576,22.2222,4/4 ,,1.5
Boccherini,2.96381,3.06227,73.288,3/4 ,,2.41383
Boccherini,2.79186,2.8152,46.5934,3/4 ,,1.90564
Boccherini,2.57644,2.86571,26.0606,2/4 ,1781,0.639556
Boccherini,2.12809,2.18201,45.504,3/4 ,1781,2.04644
Boccherini,2.67034,2.71533,36.9231,3/4 ,1781,0.863121
Boccherini,2.88612,2.71007,26.1538,3/4 ,1781,1.26381
Boccherini,2.8659,2.81564,26.6667,4/4 ,1781,1.27291
Boccherini,2.84022,2.89542,10.6667,3/8 ,1781,0.999655
Bach,2.43913,2.93604,39.0643,3/4 ,1735,1.15457
Boccherini,2.41651,2.68521,23.5311,3/4 ,1781,1.56545
Boëllmann,2.31662,2.56229,39.1111,2/2 ,1895,1.50524
Boëllmann,2.37611,2.96988,52.6316,3/4 ,1895,1.40998
Boëllmann,2.73346,2.72722,46.2857,6/4 ,1895,1.46048
Boëllmann,2.42949,2.58402,147.911,4/4 ,1895,1.90564
Boëllmann,2.60982,2.61164,94.6779,4/4 ,1895,2.10293
Boëllmann,2.74932,2.5843,37.193,3/4 ,1895,1.36096
