Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME
Bach_Johann Sebastian,chor014.krn,NA,chorale,84.2342,0,0.691818965543498,5.02838,0.346153846153846,24.01,44.06,chor014.krn,2.991,4.274,0.427,0.427,1.282,0.855,7.265,3.846,0.855,6.41,2.137,1.282,5.983,1.709,5.128,0.855,1.282,0.427,0.427,5.556,0.427,4.701,3.419,0.855,5.128,5.128,4.701,1.709,0.855,4.274,0.855,2.991,5.983,0.855,0.855,2.991,0.855
Bach_Johann Sebastian,chor015.krn,NA,chorale,104.85,0,0.797574113174649,5.42022,0.352941176470588,21.89,52.76,chor015.krn,2.128,4.681,0.426,0.426,1.277,8.085,5.106,2.553,4.681,0.426,0.851,0.426,0.851,5.532,2.553,4.681,0.426,0.426,1.277,0.851,2.128,0.426,5.106,0.851,2.979,0.426,2.553,4.255,3.83,4.255,0.851,0.426,5.106,1.277,2.979,4.681,1.702,0.426,2.553,4.255,1.277
Bach_Johann Sebastian,chor016.krn,NA,chorale,97.1326,1,0.205457736644368,4.34513,0.5,27.88,41.82,chor016.krn,0.69,5.862,0.345,1.034,1.034,0.345,5.862,5.517,1.379,6.552,1.034,0.345,0.345,6.552,2.069,5.172,1.034,0.345,0.345,5.172,1.724,4.138,1.379,1.379,0.345,0.69,4.483,4.138,3.793,0.69,0.345,5.172,4.138,6.897,0.345,0.345,0.345,5.517,3.103
Bach_Johann Sebastian,chor017.krn,NA,chorale,97.4094,0,0.568740061135166,5.13295,0.263157894736842,24.58,47.51,chor017.krn,2.907,5.814,1.163,1.744,3.488,3.488,0.581,6.977,1.744,1.163,1.744,4.07,7.558,1.163,1.163,2.907,7.558,1.744,4.07,0.581,2.326,0.581,0.581,5.814,4.651,2.907,1.163,0.581,3.488,2.907,4.651,0.581,2.326,2.907,2.907
Bach_Johann Sebastian,chor018.krn,NA,chorale,131.94,0,0.784413527124459,4.9535,0.271428571428571,26.96,37.68,chor018.krn,3.046,5.076,1.523,1.523,2.538,5.076,5.584,1.015,3.553,4.569,0.508,4.569,0.508,5.584,0.508,0.508,1.523,1.523,5.076,0.508,5.584,2.03,1.523,2.03,6.599,0.508,5.076,0.508,1.015,5.076,0.508,4.569,6.599,0.508,0.508,0.508,2.538
Bach_Johann Sebastian,chor019.krn,NA,chorale,94.4444,0,0.682185657379031,4.58552,0.223880597014925,14.38,54.38,chor019.krn,4.469,3.352,0.559,1.117,1.117,5.028,3.352,4.469,2.793,1.676,1.117,0.559,0.559,4.469,2.235,2.793,0.559,1.117,5.028,5.028,2.793,1.117,2.235,0.559,5.028,7.821,3.352,0.559,6.145,1.676,2.235,5.028,0.559,2.793,6.704
Bach_Johann Sebastian,chor020.krn,NA,chorale,105.628,0,0.567226993836905,5.1191,0.25,29.03,38.96,chor020.krn,3.448,6.466,0.862,1.293,2.155,0.431,5.603,6.466,0.431,5.603,0.431,2.586,0.862,0.431,0.431,7.328,2.155,3.879,1.293,0.862,0.862,4.741,0.431,3.448,3.448,0.431,0.431,3.879,1.293,5.172,0.862,0.862,0.431,4.741,2.155,3.879,5.603,0.431,0.431,0.431,3.017
Bach_Johann Sebastian,chor021.krn,NA,chorale,81.1321,0,0.848524602544846,4.75115,0.363636363636364,31.42,36.49,chor021.krn,3.889,3.889,0.556,0.556,0.556,1.111,6.667,4.444,0.556,4.444,1.111,0.556,4.444,3.333,6.111,1.667,0.556,1.667,0.556,5.556,1.111,5,1.667,1.111,0.556,0.556,5.556,0.556,4.444,0.556,1.111,0.556,4.444,3.889,6.111,1.111,1.667,0.556,4.444,2.778
Bach_Johann Sebastian,chor022.krn,NA,chorale,103.798,0,0.22132966724196,5.03163,0.261363636363636,24.44,47.78,chor022.krn,3.937,5.118,0.787,1.575,1.181,0.394,6.693,6.299,1.181,4.331,1.969,0.394,6.693,0.787,4.724,0.787,0.394,0.394,5.906,0.394,5.118,1.969,0.394,1.969,4.724,5.512,4.724,0.394,3.937,1.181,3.937,7.087,0.394,0.787,2.756,1.181
Bach_Johann Sebastian,chor023.krn,NA,chorale,82.7879,0,0.618093985996151,4.83853,0.333333333333333,22.39,46.93,chor023.krn,5.851,6.383,0.532,1.064,0.532,6.383,4.787,2.66,5.319,0.532,0.532,3.723,1.064,5.851,1.064,0.532,0.532,3.723,1.596,5.319,2.66,4.255,2.128,6.383,3.723,1.064,5.319,2.128,4.787,1.596,4.787,3.191
