chor001.krn	*G:	8.06	5 1
chor002.krn	*A:	6.67	3 4
chor003.krn	*a:dor	7.84	5 1
chor004.krn	*E:	8.33	1 2
chor005.krn	*G:	7.41	5 1
chor006.krn	*F:	12.12	5 1
chor007.krn	*A:	6.74	5 1
chor008.krn	*f:dor	9.26	4 5
chor009.krn	*G:	7.94	7 1
chor010.krn	*a:	8.89	1 5
chor011.krn	*C:	6.5	4 5
chor012.krn	*a:	7.14	6+ 7-
chor013.krn	*a:	7.69	6 5
chor014.krn	*G:	8.2	5 1
chor015.krn	*d:dor	6.67	5 1
chor016.krn	*b:	6.85	1 2
chor017.krn	*e:	11.36	2 3
chor018.krn	*G:	10.87	2 5
chor019.krn	*g:dor	7.69	6 5
chor020.krn	*D:	8.33	1 2
chor021.krn	*a:	6.98	4 5
chor022.krn	*E-:	9.84	7 1
chor023.krn	*a:	8	6 5
chor024.krn	*D:	6.35	1 1
chor025.krn	*f:dor	7.14	1 7-
chor026.krn	*F:	8.7	4 5
chor027.krn	*B-:	11.36	1 7
chor028.krn	*b:	12.5	5 4
chor029.krn	*G:	10.53	7 1
chor030.krn	*e:	9.8	6 5
chor031.krn	*a:	9.26	1 7-
chor032.krn	*A:	10.34	5 1
chor033.krn	*a:	9.8	5 1
chor034.krn	*e:phr	6.17	6 7-
chor035.krn	*A:	6.82	2 3
chor036.krn	*A:	8.06	4 3
chor037.krn	*a:	6.25	5 6
chor038.krn	*E-:	10.34	7 6
chor039.krn	*e:	7.04	3 2
chor040.krn	*C:	11.43	5 1
chor041.krn	*a:	8.22	1 5
chor042.krn	*A:	11.76	5 1
chor043.krn	*E:	9.26	7 1
chor044.krn	*D:	7.32	2 3
chor045.krn	*b:	6.59	5 1
chor046.krn	*D:	7.55	4 3
chor047.krn	*d:	7.41	1 7-
chor048.krn	*a:	7.55	1 7-
chor049.krn	*d:dor	9.23	1 2
chor050.krn	*F:	7.69	4 5
chor051.krn	*G:	8.77	5 4
chor052.krn	*A:	6.94	6 5
chor053.krn	*g:	7.32	7 1
chor054.krn	*G:	10	1 2
chor055.krn	*b:	10.2	5 1
chor056.krn	*b:	7.59	4 5
chor057.krn	*a:	9.38	7 1
chor058.krn	*D:	6.38	7 1
chor059.krn	*g:	6.52	1 4
chor060.krn	*D:	6.98	2 3
chor061.krn	*E-:	6.76	5 1
chor062.krn	*b:	10.53	4 5
chor063.krn	*A:	8	3 2
chor064.krn	*G:	8.06	4 3
chor065.krn	*G:	6	4 5
chor066.krn	*a:	8.57	5 1
chor067.krn	*G:	7.27	1 2
chor068.krn	*F:	11.36	5 1
chor069.krn	*G:	7.56	3 4
chor070.krn	*G:mix	9.09	4 3
chor071.krn	*e:	8.2	6 5
chor072.krn	*g:	10	4 5
chor073.krn	*g:	11.11	6 5
chor074.krn	*F:	6.52	2 3
chor075.krn	*d:	7.55	3 2
chor076.krn	*G:	8.47	1 2
chor077.krn	*A:	7.94	5 1
chor078.krn	*b:	5.88	4 5
chor079.krn	*a:	8.77	1 5
chor080.krn	*D:	8.16	2 3
chor081.krn	*a:	6.25	3+ 4
chor082.krn	*g:dor	6.78	1 2
chor083.krn	*A:	9.84	7 1
chor084.krn	*A:	7.41	4 3
chor085.krn	*E:	10.34	7 1
chor086.krn	*D:	11.11	5 1
chor087.krn	*c:dor	7.55	3 1
chor088.krn	*a:	8	6 5
chor089.krn	*b:	6.25	6+ 7-
chor090.krn	*B-:	8.82	1 7
chor091.krn	*f#:	8.59	4 5
chor092.krn	*b:	7.69	4 5
chor093.krn	*B-:	9.09	3 4
chor094.krn	*g:	9.3	1 5
chor095.krn	*B-:	9.09	2 3
chor096.krn	*d:	9.52	2 3
chor097.krn	*A:	8.33	5 1
chor098.krn	*D:	8.33	5 1
chor099.krn	*a:	9.62	4 5
chor100.krn	*g:	8.2	5 4
chor101.krn	*B-:	6	3 4
chor102.krn	*G:	10.42	5 1
chor103.krn	*B-:	7.55	3 2
chor104.krn	*b:	7.69	5 4
chor105.krn	*b:	6.25	1 7-
chor106.krn	*A:	14.04	5 1
chor107.krn	*E-:	6.25	5 1
chor108.krn	*E-:	7.32	2 5
chor109.krn	*g:	8.22	5 1
chor110.krn	*c:dor	9.26	5 1
chor111.krn	*a:	9.33	5 6
chor112.krn	*b:	10.81	4 5
chor113.krn	*f:dor	6.35	7- 1
chor114.krn	*a:	11.76	5 4
chor115.krn	*b:	7.14	5 1
chor116.krn	*D:	6.34	4 3
chor117.krn	*A-:	8.93	6 7
chor118.krn	*B-:	7.55	6 5
chor119.krn	*c:dor	8.6	5 1
chor120.krn	*b:	8.06	5 6
chor121.krn	*A:	8.11	5 1
chor122.krn	*c:dor	10.14	3 2
chor123.krn	*a:	8.33	5 4
chor124.krn	*G:	7.81	6 5
chor125.krn	*G:	8.93	1 7
chor126.krn	*a:	8.2	5 4
chor127.krn	*G:mix	9.09	5 4
chor128.krn	*G:	12.12	1 1
chor129.krn	*e:	7.41	1 7-
chor130.krn	*e:	9.09	1 2
chor131.krn	*G:	8.89	1 1
chor132.krn	*a:	5.07	2 3
chor133.krn	*d:dor	6.21	1 2
chor134.krn	*d:	8.33	1 2
chor135.krn	*D:	7.04	7 1
chor136.krn	*G:	10.87	5 1
chor137.krn	*G:	9.59	1 5
chor138.krn	*e:	9.62	1 2
chor139.krn	*G:	7.69	5 6
chor140.krn	*C:	10.61	2 3
chor141.krn	*A:	15.22	1 5
chor142.krn	*d:	6.35	4 3
chor143.krn	*F:	8.42	3 4
chor144.krn	*A:	7.41	5 4
chor145.krn	*a:	7.41	5 4
chor146.krn	*a:	11.9	5 1
chor147.krn	*E-:	6	6 7
chor148.krn	*G:	6.82	7 1
chor149.krn	*c:	9.09	1 4
chor151.krn	*G:	8.89	5 1
chor152.krn	*D:	7.32	7 1
chor153.krn	*D:	8.7	5 5
chor154.krn	*G:mix	16.22	5 6
chor155.krn	*g:dor	7.46	1 1
chor156.krn	*A:	8.89	6 5
chor157.krn	*F:	11.63	5 1
chor158.krn	*G:	6.67	1 7
chor159.krn	*G:	18.75	5 1
chor160.krn	*G:mix	11.11	3 4
chor161.krn	*d:	7.69	3 4
chor162.krn	*d:dor	5	2 3
chor163.krn	*g:	7.27	7 1
chor164.krn	*B-:	7.5	3 4
chor165.krn	*F:	7.27	1 1
chor166.krn	*g:dor	10.77	5 1
chor167.krn	*e:	9.68	5 1
chor168.krn	*g:dor	10.81	1 5
chor169.krn	*A:	8.97	3 4
chor170.krn	*a:	9.76	6 5
chor171.krn	*g:dor	8.7	3 3
chor172.krn	*g:	8.62	4 5
chor173.krn	*E-:	10.42	4 3
chor174.krn	*g:dor	9.09	1 5
chor175.krn	*C:	9.52	1 1
chor176.krn	*F:	9.26	1 7
chor177.krn	*A:	6.67	6 5
chor178.krn	*g:	7.32	7 1
chor179.krn	*E-:	6.17	4 5
chor180.krn	*d:dor	10.81	5 1
chor181.krn	*e:	7.55	1 2
chor182.krn	*g:	10.34	6 5
chor183.krn	*G:	7.14	6 7
chor184.krn	*d:dor	7.55	1 2
chor185.krn	*d:dor	8.7	3 2
chor186.krn	*d:dor	8.77	4 5
chor187.krn	*G:mix	9.09	3 4
chor188.krn	*F:	13.95	5 1
chor189.krn	*A:	6.98	6 5
chor190.krn	*a:	10	3 4
chor191.krn	*a:	7.5	3 6
chor192.krn	*B-:	13.16	5 1
chor193.krn	*a:	13.79	5 1
chor194.krn	*b:	6.98	5 1
chor195.krn	*D:	11.48	5 1
chor196.krn	*c:	8.2	4 3
chor197.krn	*d:dor	6.8	1 2
chor198.krn	*a:	8.14	6 5
chor199.krn	*g:dor	7.14	5 4
chor200.krn	*C:	8.33	5 1
chor201.krn	*E-:	5.32	3 2
chor202.krn	*D:	5.94	5 6
chor203.krn	*g:dor	7.14	6 5
chor204.krn	*g:	11.11	5 1
chor205.krn	*C:	5.37	3 2
chor206.krn	*g:dor	9.23	5 4
chor207.krn	*d:	9.26	1 2
chor208.krn	*e:	9.09	6 5
chor209.krn	*B-:	9.09	4 3
chor210.krn	*d:dor	7.69	2 3
chor211.krn	*C:	6.67	4 3
chor212.krn	*E-:	9.38	7 1
chor213.krn	*d:	6.67	3 2
chor214.krn	*a:	7.2	4 5
chor215.krn	*g:	8.87	6 5
chor216.krn	*A:	8.33	5 1
chor217.krn	*C:	5.88	2 5
chor218.krn	*g:dor	6.58	3 2
chor219.krn	*d:	7.41	7- 3
chor220.krn	*d:	6.38	1 2
chor221.krn	*a:	7.14	3 2
chor222.krn	*G:	7.69	5 1
chor223.krn	*C:	6.45	7 1
chor224.krn	*F:	11.43	1 1
chor225.krn	*g:	7.27	2 3
chor226.krn	*g:	10.91	5 6
chor227.krn	*d:	6.9	4 5
chor228.krn	*a:	7.41	5 4
chor229.krn	*g:	7.69	4 5
chor230.krn	*g:	8.93	1 7-
chor231.krn	*G:mix	10.2	7- 6
chor232.krn	*d:dor	10	2 3
chor233.krn	*A:	7.27	1 5
chor234.krn	*F:	10.58	4 3
chor235.krn	*F:	10.71	5 1
chor236.krn	*e:	11.11	5 1
chor237.krn	*g:dor	11.27	5 1
chor238.krn	*e:	10	1 2
chor239.krn	*C:	8.06	1 7
chor240.krn	*a:	8.33	3 2
chor241.krn	*d:dor	7.14	3 2
chor242.krn	*e:	9.68	2 3
chor243.krn	*g:	7.14	1 2
chor244.krn	*c:dor	7.59	6 5
chor245.krn	*g:	13.46	3 4
chor246.krn	*G:	6.85	6 5
chor247.krn	*G:	6.38	5 1
