Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	modulation_pathway	Modulation_Measures	One_Mode	Mode notes
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski077.krn">77</a>	    Gas-nign	G minor	listening	"Melamed, R."	recording	Voice	"Novo-Zlatopol, Dnepropetrovsk"	1937	-	Old Jewish Agricultural Colonies	Novozlatopol	-	-	C minor (iv); Bb major (III); G minor (i)	1–4; 5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski078.krn">78</a>	    Gas-nign	G minor	listening	"Karlyk, Ia."	recording	-	"Dzhelal, Crimea"	1937	"Boguslav, Kyiv"	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	Bb major (III)	8–15	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski079.krn">79</a>	    A gute nakht	G freygish	listening	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5		All freygish	yes	Section B begins with two bar segments of C raised fourth and Bb major. I interpret these as local gestures in the context of the full eight-bar phrase. 
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski080.krn">80</a>	    A gute nakht	G minor	listening	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski081.krn">81</a>	    Zay gezunt	G freygish	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski082.krn">82</a>	    Zay gezunt	G freygish	listening	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-	C minor (iv)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski083.krn">83</a>	    Zay gezunt	G minor	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5	Bb major (III); G minor (i); Bb major (III); G minor (i); Bb major (III); G minor (i)	1–6; 7–8; 9–14; 15–18; 19–20; 21–24	no	I have tagged two-bar shifts at cadences throughoout. 
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski084.krn">84</a>	    Zay gezunt	G minor	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All minor	yes	There are amibiguities between the minor and raised fourth modes. One could identify both sections in eithe mode. Beregovski groups this with other minor tunes; I have tagged it accordingly.
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski085.krn">85</a>	    Redl	G freygish	dance	Anonymous	transcription	-	Liubavichi	1913	-	Various Cities and Towns	-	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski086.krn">86</a>	    Freylekhs	G freygish	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	A	Up M2		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski087.krn">87</a>	    Freylekhs	G freygish	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	F major (VII); G freygish	10–14	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski088.krn">88</a>	    Freylekhs	G freygish	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	A	Up M2	Eb major; C raised fourth (iv); G freygish (I)	"14–17, 18–22"	no	"Measures 14–17 could be identified as C minor (iv), a typical move. Here we identify them as Eb major (VI) because there is no C. See the same analysis in Horowitz 1993, 39. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski089.krn">89</a>	    Tants	G freygish	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski090.krn">90</a>	    Freylekhs	G freygish	dance	"Grudsky, L."	transcription	Violin	Kherson	1933	-	Old Jewish Agricultural Colonies	-	D	Up P5	C major (IV); D freygish (V); G freygish (I)	17–20; 21–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski091.krn">91</a>	    Freylekhs	G freygish	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	D	Up P5		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski092.krn">92</a>	    Freylekhs	G freygish	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski093.krn">93</a>	    Skotshne	G freygish	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	A	Up M2		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski094.krn">94</a>	    Freylekhs	G freygish	dance	"Pivovarov, M."	recording	-	"Bobrovyi, Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski095.krn">95</a>	    Freylekhs	G freygish	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	A	Up M2	C minor (iv); G freygish (I)	10–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski096.krn">96</a>	    Freylekhs	G freygish	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski097.krn">97</a>	    Freylekhs	G freygish	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	C minor (iv)	10–17	no	Section B (mm. 10–17) emphasize F but then settle on C in both halves of the phrase. The section is thus identified as C minor (iv).
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski098.krn">98</a>	    Freylekhs	G freygish	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski099.krn">99</a>	    Hopke	G freygish	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	C	Up P4		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski100.krn">100</a	    Freylekhs	G freygish	dance	"Mesman, V."	transcription	-	-	-	-	Unknown	-	G	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski101.krn">101</a	    Skotshne	G minor	dance	Anonymous	transcription	-	-	-	-	Kyiv	"Khabno, Korosten', and Radomysl'"	-	-	G major (I); G minor (i)	1–9	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski102.krn">102</a	    Hopke	G freygish	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2	F major (VII); G freygish (I); C major (IV); D freygish (V); G freygish (I)	10–15; 16–18; 19–25; 26–28	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski103.krn">103</a	    Freylekhs	G freygish	dance	"Svitelsky, F."	transcription	Violin	Kyiv	1933	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	F major (VII); G freygish (I); F major (VII)	5–10; 11–12; 13–24	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski104.krn">104</a	    Freylekhs	G freygish	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	A	Up M2	Bb major (III); G freygish	11–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski105.krn">105</a	    Skotshne	G raised fourth	dance	"Ziserman, V."	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	G	-		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski106.krn">106</a	    Freylekhs	G raised fourth	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski107.krn">107</a	    Karahod	G raised fourth	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	C	Up P4		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski108.krn">108</a	    Freylekhs	G raised fourth	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	B	Up M3		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski109.krn">109</a	    Skotshne	G raised fourth	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	B	Up M3		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski110.krn">110</a	    Freylekhs	G raised fourth	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	E	Up M6		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski111.krn">111</a	    Freylekhs	G raised fourth	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-	Bb major (III)	19–28	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski112.krn">112</a	    Freylekhs	G raised fourth	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-	G major (I)	10–17	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski113.krn">113</a	    Skotshne	G raised fourth	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-	G major (I); G raised fourth (i)	25–48	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski114.krn">114</a	    Freylekhs	G raised fourth	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-	G minor (i); G raised fourth (i); G major (I); G minor (i)	1–6; 7–39; 40–52; 53–60	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski115.krn">115</a	    Skotshne	G raised fourth	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	C	Up P4	G major (I); G raised fourth (i)	22–27	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski116.krn">116</a	    Skotshne	G raised fourth	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	G	-	G major (I); G raised fourth (i)	18–23	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski117.krn">117</a	    Freylekhs	G raised fourth	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	D	Up P5	G major (I); G raised fourth (i)	9–13	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski118.krn">118</a	    Freylekhs	G raised fourth	dance	"Berezin, Ia."	transcription	Clarinet	Tiraspol	1937	-	Various Cities and Towns	-	C	Up P4	G major (I); G raised fourth (i)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski119.krn">119</a	    Freylekhs	G raised fourth	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	G major (I)	14–22	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski120.krn">120</a	    Freylekhs	G raised fourth	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All raised fourth	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski121.krn">121</a	    Freylekhs (Karahod)	G minor	dance	"Rabinovich, I. S."	transcription	Piano	Kyiv	1937	"Pereiaslav, Poltava"	Various Cities and Towns	-	-	-	Bb major (III); G minor (i); Bb major (III)	1–6; 7–12; 13–22	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski122.krn">122</a	    Freylekhs	G minor	dance	Knaifel	transcription	Bass	Vinnitsa	1937	-	Vinnitsa	-	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski123.krn">123</a	    Skotshne	G minor	dance	"Ziserman, V."	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	D	Up P5	Bb major (III); G minor (i)	18–29	no	G minor is identified starting in m. 30; this is part of a phrase that leads towards the strong cadence in G minor.
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski124.krn">124</a	    Skotshne	G minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	A	Up M2	C minor (iv);  Bb major (III); G minor (i)	21–28; 29–40	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski125.krn">125</a	    Freylekhs	G minor	dance	"Svitelsky, F."	transcription	Violin	Kyiv	1933	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski126.krn">126</a	    Freylekhs	G freygish	dance	"Pulver, L. M."	recording	Violin	Kyiv	1929	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	D	Down P4	C raised fourth (iv); G freygish (I)	1–13	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski127.krn">127</a	    Freylekh	G minor	dance	Mazover	recording	Voice	Kalnindorf	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	-	-	Bb major (III); G raised fourth (I)	10–18; 19–27	no	"Section C (mm. 19–27) alternates C# and C natural. The C#s are quite prominent, however, so this is identified as G raised fourth. C natural occasionally alternates with C# in the raised fourth mode (see Beregovski 1982, 551). "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski128.krn">128</a	    Freylekhs	G minor	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski129.krn">129</a	    Freylekhs	G minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	G raised fourth (i); Bb major (III); G minor (i)	9–16; 17–30	no	"Section B (mm. 9–16) has C#, but it also has Eb which is not characteristic of G raised fourth. We still identified it as G raise fourth because the C#s are prominent. The manuscript in Beregovski 2013 has E naturals pencilled in."
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski130.krn">130</a	    Freylekhs	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1936	-	Old Jewish Agricultural Colonies	Kalinindorf	A	Up M2		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski131.krn">131</a	    Freylekhs	G minor	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G raised fourth (i); G minor (i)	14–21	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski132.krn">132</a	    Freylekhs	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	A	Up M2	Bb major (III); G minor (i)	1–12	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski133.krn">133</a	    Freylekhs	G minor	dance	Anonymous	transcription	-	-	-	-	Unknown	-	D	Up P5	Bb major (III); G minor (i)	1–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski134.krn">134</a	    Skotshne	G minor	dance	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	C	Up P4		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski135.krn">135</a	    Freylekhs	G minor	dance	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	Bb	Up m3	G freygish (I)	19–48	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski136.krn">136</a	    Freylekhs	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	-	-	Bb major (III); G minor (i)	5–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski137.krn">137</a	    Vol'ner (Freylekhs)	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	-	-		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski138.krn">138</a	    Freylekhs	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	-	-	Bb major (III); G minor (i)	17–20	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski139.krn">139</a	    Freylekhs	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	G	-		All minor	yes	"Bb is implied in mm. 9–12, but there isn't a cadence until the end of the section."
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski140.krn">140</a	    Freylekhs	G minor	dance	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski141.krn">141</a	    Freylekhs	G minor	dance	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski142.krn">142</a	    Freylekhs	G minor	dance	Anonymous	-	-	-	-	-	Unknown	-	A	Up M2	Bb major (III); G minor (i)	15–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski143.krn">143</a	    Freylekhs	G minor	dance	"Berezin, Ia."	transcription	Clarinet	Tiraspol	1936	-	Various Cities and Towns	-	G	-		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski144.krn">144</a	    Freylekhs	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5	Bb major (III)	10–17	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski145.krn">145</a	    Freylekhs	G minor	dance	Anonymous	transcription	-	-	-	-	-	-	A	Up M2		All minor	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski146.krn">146</a	    Freylekhs	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	A	Up M2	Bb major (III); G minor (i)	9–12	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski147.krn">147</a	    Freylekhs	G minor	dance	"Barkagan, G."	transcription	Clarinet	"Kalinindorf, Nikolaev"	1935	-	Old Jewish Agricultural Colonies	Kalinindorf	D	Up P5		All minor	yes	"Section C (mm. 17–24) cadences on Bb, but the cadence is brief and it doesn't introduce a new pitch collection. I haven't tagged it as such. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski148.krn">148</a	    Freylekhs	G minor	dance	"Gershfeld, G."	transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	G	-	Bb major (III); G minor (i)	9–14	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski149.krn">149</a	    Skotshne	G minor	dance	"Ziserman, V."	transcription	Bass	Vinnitsa	1932	-	Vinnitsa	-	D	Up P5	Bb major (III); G minor (i)	17–20	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski150.krn">150</a	    Freylekhs	G major	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	G raised fourth (i)	9–27	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski151.krn">151</a	    Freylekhs	G major	dance	"Dulitsky, B."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	G raised fourth (i)	9–25	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski152.krn">152</a	    Skotshne	G major	dance	"Magaziner, Ia. S."	transcription	Violin	Kyiv	1936	"Zvenigorodka, Kyiv"	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-	G raised fourth (i); G major (I)	10–17	no	
