Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	modulation_pathway	Modulation_Measures	One_Mode	Mode notes
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski022.krn">22</a>	    Doyne	G raised fourth	listening	"Gulerman, Z."	recording	Flute	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All raised fourth	yes	"This is only the latter section of the piece with a 2/4 time signature (marked Allegro). The opening is marked ""Rubato"" and does not have a time signature."
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski023.krn">23</a>	    Skotshne	G freygish	listening	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski024.krn">24</a>	    Skotshne	G freygish	listening	"Bergelson, D."	recording	Voice	Kyiv	1931	Uman'	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski025.krn">25</a>	    Skotshne	G freygish	listening	"Roitenberg, D."	transcription	Violin	Moscow	1926	Belarus	-	-	-	-	C minor (iv); Bb major (III); G minor (i)	6–13; 14–17; 18–25	no	"Section B (mm. 6–13) identified as C minor (iv) based on measured melodic descent from G (m. 6) to C (m. 12). There is a brief shift to D freygish (V) at the cadence in mm. 12–13, but I kept these bars with the rest of the section (criterion 1)."
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski026.krn">26</a>	    Skotshne	G freygish	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2	C minor (iv)	28–42	no	"Measures 38–40 briefly imply G freygish. The section begins with a C minor fanfare, and ends with a C minor cadence––we thus identified the section as a whole as C minor (iv) (criterion 1). "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski027.krn">27</a>	    Skotshne	G freygish	listening	"Shteingart, Ia."	recording	Clarinet	"Podolia, Bogopol"	1913	-	Podolia	Bogopol	-	-	C minor (iv); Bb major (III); C minor (iv); Bb major (III); G freygish (I)	18–21; 22–25; 26–29; 30–33	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski028.krn">28</a>	    Freylekhs	G freygish	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	C	Up P4	C minor (iv); G frey (I); C major (IV); C minor (iv)	10–13; 14–25; 26–37; 38–42	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski029.krn">29</a>	    Skotshne	G freygish	listening	Anonymous	transcription	-	-	-	-	-	-	G	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski030.krn">30</a>	    Freylekhs	G freygish	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2	C minor (iv); Bb major (III); G freygish (I)	10–13; 14–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski031.krn">31</a>	    Freylekhs	G freygish	listening	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	C	Up P4	C minor (iv); F major (VII)	10–17; 18–23	no	Section B (mm. 10–17) includes elements of both G freygish and C minor (iv). The section is identified as C minor (iv) because of the emphasis on C at the beginning and the cadence on C.
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski032.krn">32</a>	    Skotshne	G freygish	listening	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	E	Down m3	C major (IV); D freygish (V)	18–21; 22–26	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski033.krn">33</a>	    Lekhaim	G freygish	listening	"Magaziner, Ia. S."	transcription	Violin	Kyiv	1937	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	-	-		All freygish	yes	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski034.krn">34</a>	    Skotshne	G freygish	listening	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	-	-	C minor (iv); G freygish	12–19	no	
